Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets Sequenced	Multiplets Sequenced [%]	Multiplets Repeatedly Sequenced	Multiplets Repeatedly Sequenced [%]	Multiplets Identified	Multiplets Identified [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_02_07	PROlong_02	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6290	45334	0	48078	35466	7124	5488	23238	20687	2141	410	48.33	58.33	30.05	7.47	7364	1033494	37172	3.6	6008	16.16	141495	33202	32762	23.47	27.69	7212	21.72	34992	3743	15931	12334	2630	334	19	1	17161	49.04	10433	60.79	9221	53.73	+	0.36556	0.50813	0.24147	0.35664
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_02_08	PROlong_02	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6370	44681	0	47811	33162	8389	6260	16763	14724	1692	347	35.06	44.4	20.17	5.54	4885	958171	36446	3.8	5938	16.29	127041	31983	31539	25.18	29.86	7184	22.46	30355	3206	13215	11125	2480	301	25	3	15808	52.08	9688	61.29	6391	40.43	+	0.36783	0.51255	0.24019	0.35738
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_03_01	PROlong_03	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6320	44873	0	46525	36110	7111	3304	28945	25150	3255	540	62.21	69.65	45.77	16.34	13238	1190237	38409	3.23	5420	14.11	171615	35251	34953	20.54	23.02	6685	18.96	42237	2391	20202	16343	2980	291	27	3	19136	45.31	10508	54.91	12814	66.96	+	0.39107	0.54181	0.25833	0.37803
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_03_02	PROlong_03	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6289	45042	0	46940	35819	7325	3796	27203	23727	2998	478	57.95	66.24	40.93	12.59	11387	1114676	37632	3.38	5775	15.35	157011	34133	33788	21.74	24.64	7060	20.68	38177	2726	17584	14567	2943	324	31	2	18210	47.7	10265	56.37	11510	63.21	+	0.38855	0.53999	0.25427	0.37125
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_03_03	PROlong_03	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6266	45383	0	47963	33533	9270	5160	26016	21952	3484	580	54.24	65.46	37.58	11.24	10753	1091632	37704	3.45	5641	14.96	155862	33859	33505	21.72	24.73	6771	20	36444	2894	17455	13287	2449	313	40	6	17238	47.3	9580	55.57	10847	62.92	+	0.38633	0.53725	0.25498	0.3761
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_03_04	PROlong_03	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6193	45911	0	48376	34603	8843	4930	26617	22583	3484	550	55.02	65.26	39.4	11.16	10122	1077726	37937	3.52	5780	15.24	153695	34052	33691	22.16	25.36	6995	20.54	36626	3066	17329	13100	2690	396	40	5	17427	47.58	9897	56.79	10842	62.21	+	0.38353	0.5336	0.25398	0.3719
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_03_05	PROlong_03	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6210	45804	0	48293	35265	8050	4978	25275	21627	3123	525	52.34	61.33	38.8	10.55	9675	1050571	38031	3.62	5648	14.85	149125	34064	33697	22.84	26.36	6995	20.53	36147	3291	16666	12998	2673	457	58	4	17695	48.95	10248	57.91	10517	59.43	+	0.38247	0.53024	0.25162	0.37039
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_03_06	PROlong_03	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6304	45206	0	47308	36122	6982	4204	24892	21987	2474	431	52.62	60.87	35.43	10.25	9286	1044606	37591	3.6	5780	15.38	146254	34087	33682	23.31	26.67	7006	20.55	36134	2907	16979	13158	2700	358	31	1	18188	50.33	10433	57.36	10456	57.49	+	0.36856	0.51889	0.2405	0.35732
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_03_07	PROlong_03	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6325	44916	0	47111	35221	7500	4390	22602	19986	2239	377	47.98	56.74	29.85	8.59	7901	1012611	36971	3.65	6043	16.35	138049	33238	32828	24.08	27.41	7291	21.94	33621	2271	16594	12109	2381	252	13	1	17253	51.32	10150	58.83	8998	52.15	+	0.37147	0.51952	0.24386	0.36145
20190618_CF_COLLAB_Dan_A375_SILAC_0_72_PRO_03_08	PROlong_03	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Deamidation (NQ)	Carbamidomethyl (C)			False	True	2	2	3		Arg10;Lys8	Standard		6363	44365	0	47542	32348	8840	6354	16452	14473	1759	220	34.61	44.74	19.9	3.46	5567	963059	36758	3.82	5709	15.53	129494	32325	31798	24.96	28.52	6851	21.19	29312	1987	14108	10814	2166	223	14	0	15980	54.52	9394	58.79	6583	41.2	+	0.36776	0.50502	0.23984	0.35344
PROlong_01																																				50454																															
PROlong_02																																				52951																															
PROlong_03																																				51180																															
Total																					151232	1083295	0	1140876	844725	180989	115162	602871	527714	63129	12028	52.84	62.47	34.88	10.44	60916	25168395					3576794	808382	799183	22.6	25.82	167762	20.75	884802	70130	412971	326181	66053	8536	849	82	422023	47.7	246790	58.48	251970	59.71		0.37877	0.52857	0.24818	0.36538
