id,Protein names,Gene names,STY_30m_med,STY_4h_med
58,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing),TKFC;DAK,0.8941399999999999,0.937075
59,Synaptojanin-2-binding protein,SYNJ2BP-COX16;SYNJ2BP,0.97158,1.0155925
62,Glutathione peroxidase;Glutathione peroxidase 1,GPX1,1.049855,0.90927
63,Low-density lipoprotein receptor-related protein 1B,LRP1B,0.9563699999999999,0.9014675000000001
64,40S ribosomal protein S24,RPS24,0.9789575,1.00946
65,Eukaryotic translation initiation factor 5B,EIF5B,1.0326,0.9904200000000001
66,"Zinc finger protein 36, C3H1 type-like 2;Zinc finger protein 36, C3H1 type-like 1",ZFP36L2;ZFP36L1,1.0544075,1.03663
67,NF-kappa-B essential modulator,IKBKG,1.22472,1.32085
69,MICOS complex subunit MIC27,APOOL,1.34215,1.0247950000000001
71,C-Myc-binding protein,MYCBP,1.014445,0.928195
73,"Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR4, N-terminally processed",LAMTOR4,1.0844,0.86724
75,Antigen KI-67,MKI67,1.728825,1.3527999999999998
76,Mannose-P-dolichol utilization defect 1 protein,MPDU1;HBEBP2BPA,0.9801274999999999,1.0782824999999998
77,Stromal membrane-associated protein 2,SMAP2,1.6584500000000002,1.06126
78,Selenoprotein T,SELT,1.0655999999999999,1.0354575000000001
80,ATP-dependent RNA helicase DDX50,DDX50,1.25435,2.310475
81,Intersectin-2,ITSN2,1.1050499999999999,1.17905
82,PDZ and LIM domain protein 2,PDLIM2,1.2411500000000002,NA
83,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,0.9995050000000001,1.0113025
84,Clathrin heavy chain;Clathrin heavy chain 1,CLTC,1.021875,1.02695
88,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,1.067565,0.944455
89,Tetratricopeptide repeat protein 28,TTC28,1.027165,NA
91,Endophilin-B1,SH3GLB1,1.077375,1.05833
94,Ethanolaminephosphotransferase 1,EPT1,1.159675,1.183975
95,"ATP-binding cassette sub-family B member 7, mitochondrial",ABCB7,0.858745,NA
96,Lethal(2) giant larvae protein homolog 1,LLGL1,0.977855,1.0529275
97,Low-density lipoprotein receptor-related protein 8,LRP8,1.14085,1.2264249999999999
99,DNA polymerase delta subunit 2,POLD2,0.940355,1.150875
102,Putative RNA-binding protein 15,RBM15,1.2532275,1.086045
103,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase gamma,PTPRG,0.9683275,0.8862099999999999
104,THO complex subunit 1,THOC1,1.3357,1.268075
105,B-cell lymphoma/leukemia 10,BCL10,1.08565,NA
106,Gamma-adducin,ADD3,1.3005499999999999,1.6868400000000001
107,TAR DNA-binding protein 43,TARDBP,1.0109,1.0273750000000001
108,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,1.1953749999999999,1.0427925
112,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH,0.862045,0.9769
113,Protein FAM83D,FAM83D,1.118385,1.100535
114,60S ribosomal protein L17,RPL17;RPL17-C18orf32,0.987455,0.9834725
115,Integrin beta;Integrin beta-6,ITGB6,0.9910625,1.048175
116,Diphthine synthase,DPH5,1.050935,1.17042
118,Ribonuclease H2 subunit B,RNASEH2B,1.0383499999999999,1.263875
119,Required for meiotic nuclear division protein 1 homolog,RMND1,0.9672375,0.9599074999999999
122,YTH domain-containing family protein 2,YTHDF2,0.9334925000000001,0.9470175000000001
123,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,1.39855,1.007065
124,AP-2 complex subunit mu,AP2M1,1.0052425,0.9607475000000001
125,Protein jagunal homolog 1,JAGN1,1.1585,1.0742
126,Transporter;Sodium- and chloride-dependent taurine transporter,SLC6A6,1.0057575,1.14205
128,PDZ and LIM domain protein 3,PDLIM3,0.97082,NA
129,Seizure 6-like protein 2,SEZ6L2,1.0958,1.2173
130,Mediator of RNA polymerase II transcription subunit 6,MED6,0.696905,NA
132,ATP-dependent RNA helicase DHX29,DHX29,1.0106725,1.014705
133,Selenoprotein H,C11orf31;SELH,1.02838,1.22495
134,Signal recognition particle 19 kDa protein,SRP19,1.332875,1.1618249999999999
135,Sorting nexin;Sorting nexin-9,SNX9,1.1561,1.20085
136,UPF0585 protein C16orf13,C16orf13,0.8408025,1.0594325
137,NK-tumor recognition protein;Putative peptidyl-prolyl cis-trans isomerase,NKTR,1.2529,1.0099399999999998
139,Ribonucleoprotein PTB-binding 1,RAVER1,1.234,0.9423199999999999
141,KRR1 small subunit processome component homolog,KRR1,1.18925,1.0436
143,Rho guanine nucleotide exchange factor 18,ARHGEF18,1.00753,0.9729975
145,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",IDH3B,1.12425,1.013485
147,Methyltransferase-like protein 7B,METTL7B,1.397075,1.402675
150,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,PPIP5K2,1.1474000000000002,1.111775
151,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,1.12225,1.0163525
153,Kinesin-like protein;Kinesin-like protein KIF3A,KIF3A,1.29334,1.0859275
158,Uncharacterized protein KIAA1755,KIAA1755,1.0346,NA
160,Protein FAM208A,FAM208A,1.587385,NA
163,Tight junction protein ZO-1,TJP1,0.92561,1.0286899999999999
164,Kanadaptin,SLC4A1AP,1.0452400000000002,1.148075
166,Sorting nexin-12,SNX12,1.043925,0.960655
167,Collagen alpha-1(VI) chain,COL6A1,0.8937200000000001,0.73803
168,Transcription factor p65,RELA,1.17895,1.0413275
171,Nodal modulator 1,NOMO1,1.0627499999999999,1.0021674999999999
172,Septin-8,SEPT8,1.187575,1.0494675
173,Arfaptin-2,ARFIP2,1.2109,1.248525
175,15 kDa selenoprotein,SEP15,1.278025,0.9494925
176,LisH domain-containing protein ARMC9,ARMC9,1.1273675,1.1335125
178,CCAAT/enhancer-binding protein zeta,CEBPZ,0.92128,NA
179,Ribonuclease P protein subunit p40,RPP40,0.9558525,1.08035
180,Nebulin,NEB,1.22045,NA
182,Transcription intermediary factor 1-alpha,TRIM24,1.8570000000000002,NA
183,Stromal membrane-associated protein 1,SMAP1,1.0624,NA
184,Gamma-tubulin complex component 5,TUBGCP5,1.0339,0.9622475
186,Proteasome activator complex subunit 2,PSME2,0.9849425,1.0445250000000001
187,Breast carcinoma-amplified sequence 3,BCAS3,1.7119499999999999,NA
188,Protein CIP2A,KIAA1524,0.821075,1.014535
189,WASH complex subunit 7,KIAA1033,1.0424950000000002,0.9806275
190,Calponin;Calponin-2,CNN2,0.8831074999999999,1.112425
192,WD repeat-containing protein 6,WDR6,1.188105,1.08658
196,"39S ribosomal protein L45, mitochondrial",MRPL45,1.0079075,0.9396424999999999
197,ATP-dependent RNA helicase DDX1,DDX1,0.9789749999999999,0.98874
198,E3 ubiquitin-protein ligase HECTD1,HECTD1,0.8413174999999999,0.9395625
199,26S protease regulatory subunit 10B,PSMC6,0.9850300000000001,1.012635
201,Dedicator of cytokinesis protein 9,DOCK9,1.21885,NA
204,Dedicator of cytokinesis protein 1,DOCK1,1.068125,0.9972575
205,E3 ubiquitin-protein ligase RNF114,RNF114,1.6439,NA
206,Ubiquitin-like protein ISG15,ISG15,1.365575,0.967185
210,Uncharacterized protein FLJ45252,AAK1,1.279875,1.2361499999999999
211,Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 6;WAS protein family homolog 1,WASH3P;WASH2P;WASH6P;WASH1,1.6351,NA
213,"ES1 protein homolog, mitochondrial",C21orf33,1.0469149999999998,1.02177
214,Mitogen-activated protein kinase kinase kinase kinase;Mitogen-activated protein kinase kinase kinase kinase 5,MAP4K5,1.222885,NA
215,Protein RTF2 homolog,RTFDC1,0.9681124999999999,1.0346775
216,Pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 3,PYCRL,1.11015,1.1679499999999998
217,CLK4-associating serine/arginine rich protein,CLASRP,1.4076499999999998,NA
219,Laminin subunit alpha-4,LAMA4,1.164075,1.0710175
220,WD repeat-containing protein 18,WDR18,1.0375325,1.05117
221,Inverted formin-2,INF2,3.97655,NA
222,Selenocysteine lyase,SCLY,1.076385,0.93372
223,Ribosomal protein S6 kinase;Ribosomal protein S6 kinase alpha-5,RPS6KA5,1.47488,NA
228,Voltage-dependent anion-selective channel protein 2,VDAC2,1.06215,1.0485250000000002
229,Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11C,SEC11C;SEC11L3,1.035045,1.043085
230,Target of rapamycin complex subunit LST8,MLST8,2.14435,1.3707500000000001
236,RNA-binding protein 10,RBM10,1.097075,1.14665
239,Titin,TTN,0.966985,0.976675
240,Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1,0.95642,0.99536500000000006
241,"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",EPB41L3,1.794025,0.65144
242,MAP kinase-activating death domain protein,MADD,1.33805,1.085665
244,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",ASAP1,1.0537,1.1766
245,WD repeat-containing protein 47,WDR47,1.208075,0.9054675
246,A-kinase anchor protein 9,AKAP9,1.01365,1.27045
247,"Phosphoinositide phospholipase C;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,0.98589,NA
248,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MRCK alpha,CDC42BPA,1.2823499999999999,1.0839750000000001
249,Neuron navigator 1,NAV1,2.94765,NA
250,Protein-L-isoaspartate O-methyltransferase;Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PCMT1,0.9271725,1.032715
251,G patch domain-containing protein 4,GPATCH4,1.3252,1.194
252,Metaxin-1,MTX1,0.957215,1.094525
253,Unconventional myosin-VI,MYO6,0.92047,1.016625
254,Nucleolar and coiled-body phosphoprotein 1,NOLC1,1.11715,1.04413
255,Kynurenine--oxoglutarate transaminase 3,CCBL2,0.9385675,1.2900525
258,U1 small nuclear ribonucleoprotein C,SNRPC,1.5293,1.16315
261,Abl interactor 1,ABI1,1.195825,1.1659
262,Ribosome-binding protein 1,RRBP1,1.107275,1.00757
264,DDRGK domain-containing protein 1,DDRGK1,1.048765,1.074
267,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,0.8360925,0.868965
268,Sideroflexin;Sideroflexin-3,SFXN3,1.1265,1.009095
271,cAMP-dependent protein kinase catalytic subunit beta,PRKACB,0.9242875,0.9826524999999999
272,"Calcium/calmodulin-dependent 3,5-cyclic nucleotide phosphodiesterase 1C",PDE1C,1.0083199999999999,0.990755
273,Myeloid differentiation primary response protein MyD88,MYD88,1.1380249999999998,1.1319499999999998
274,Eukaryotic translation initiation factor 4 gamma 3,EIF4G3,1.30905,1.178525
275,Poliovirus receptor,PVR,1.086625,0.88582
276,Exocyst complex component 7,EXOC7,1.5133649999999998,1.0714225000000002
278,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH,0.9949250000000001,1.03157
279,G patch domain-containing protein 11,GPATCH11,1.3969,1.556555
280,Four and a half LIM domains protein 2,FHL2,1.439775,0.9669225
281,Exocyst complex component 5,EXOC5,1.0039150000000001,0.9836575
284,Protein arginine N-methyltransferase 3,PRMT3,1.1038999999999999,1.05759
286,Aldo-keto reductase family 1 member C3,AKR1C3,1.09645,1.199325
287,Tapasin,TAPBP,0.8684624999999999,1.0894475
288,Aldo-keto reductase family 1 member C1,AKR1C1,1.0792,1.136775
290,Protein SCAF8,SCAF8,0.9870375,1.0210599999999999
292,Peptidyl-prolyl cis-trans isomerase;FK506-binding protein 15,FKBP15,1.1713749999999998,1.25685
295,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD,1.0249625,0.956635
297,Tumor suppressor candidate 3,TUSC3,1.243975,1.186825
300,"Valine--tRNA ligase, mitochondrial",VARS2,0.9071575000000001,0.9359299999999999
302,Integrin-linked protein kinase,ILK,1.104625,1.001455
304,TATA-binding protein-associated factor 172,BTAF1,0.9986625,0.9465224999999999
305,Neutral cholesterol ester hydrolase 1,NCEH1,1.116275,0.9451149999999999
306,Protein FAM65A,FAM65A,1.09485,NA
308,Cullin-2,CUL2,1.0209375,0.99773
309,6.8 kDa mitochondrial proteolipid,C14orf2;MP68,0.93171,1.0950250000000001
312,Iron-responsive element-binding protein 2,IREB2,0.8511975,1.0433
314,Arpin,C15orf38-AP3S2;ARPIN,1.00379,0.9705775
317,UPF0562 protein C7orf55;Putative RNA-binding protein Luc7-like 2,LUC7L2;C7orf55;C7orf55-LUC7L2,1.01634,0.9924949999999999
319,Coronin;Coronin-7;Mitochondrial import inner membrane translocase subunit TIM16,CORO7-PAM16;CORO7;PAM16,0.998825,0.9677125
321,UPF0693 protein C10orf32,C10orf32-ASMT;C10orf32,1.29905,1.1655550000000001
322,Phosphatidylinositol 4-kinase beta,PI4KB,1.04705,NA
323,,C11orf98,0.95537,1.01115
326,Trafficking protein particle complex subunit 2-like protein,TRAPPC2L,5.848575,0.9899024999999999
327,Sedoheptulokinase,TRPV1;SHPK,1.045355,NA
328,Disks large-associated protein 4,DLGAP4,1.2673,NA
329,Translationally-controlled tumor protein,TPT1,0.8954575,0.9956325
330,Periodic tryptophan protein 2 homolog,PWP2,1.40575,1.3108499999999998
331,Lanosterol 14-alpha demethylase,CYP51A1,0.8847275,0.8850825
332,Maleylacetoacetate isomerase,GSTZ1,1.8163,NA
333,Transmembrane 9 superfamily member 4,TM9SF4,1.0688075000000001,1.0262674999999999
334,Terminal uridylyltransferase 4,ZCCHC11,1.1525050000000001,NA
336,Monoglyceride lipase,MGLL,1.5166,0.9309125
337,Myomegalin,PDE4DIP,1.6320999999999999,NA
339,Protein UXT,UXT,1.0261125,0.9963424999999999
340,Disks large homolog 1,DLG1,1.76485,NA
341,"Superoxide dismutase;Superoxide dismutase [Mn], mitochondrial",SOD2,1.2397,1.283325
343,EMILIN-1,EMILIN1,0.8771725,0.8428
344,Negative elongation factor A,NELFA,1.682625,1.0868250000000002
345,40S ribosomal protein SA,RPSA,0.9718225,1.022825
346,Abl interactor 2,ABI2,1.030035,1.0710475000000002
349,Nesprin-1,SYNE1,1.09643,1.1668500000000002
350,"Serine protease HTRA2, mitochondrial",HTRA2,1.699475,1.2748
351,ADP-ribosylation factor-like protein 6-interacting protein 4,ARL6IP4,1.02133,NA
354,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2,1.0475325,1.310995
355,Helicase-like transcription factor,HLTF,1.28845,NA
360,Protein kinase C and casein kinase substrate in neurons protein 3,PACSIN3,0.9469625,1.2475999999999998
361,Chromodomain-helicase-DNA-binding protein 4,CHD4,0.9866175,0.9752825
362,CD276 antigen,CD276,1.03675,0.93015
363,Ras-related protein R-Ras2,RRAS2,1.2295500000000001,NA
365,Alpha-mannosidase;Alpha-mannosidase 2x,MAN2A2,1.25815,1.6192250000000001
367,ARF GTPase-activating protein GIT1,GIT1,1.227725,0.9816199999999999
368,Cytoplasmic phosphatidylinositol transfer protein 1,PITPNC1,1.114725,1.1005
369,Calpain small subunit 1,CAPNS1,1.1359,1.0178275
371,Dehydrogenase/reductase SDR family member 7B,DHRS7B,1.290365,0.9548099999999999
372,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,0.9456675000000001,0.9588125000000001
373,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,1.0655999999999999,1.0394
374,Golgin subfamily A member 2,GOLGA2,1.0745749999999998,1.0511
376,Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),RBP4,0.16908249999999997,0.3508425
377,UPF0600 protein C5orf51,C5orf51,1.5016,1.00853
378,"39S ribosomal protein L22, mitochondrial",MRPL22,1.086725,0.9576975
379,DNA-directed RNA polymerase;DNA-directed RNA polymerase II subunit RPB1,POLR2A,1.025975,0.9548725
380,Tripeptidyl-peptidase 1,TPP1,1.030165,1.197535
382,Thromboxane-A synthase,TBXAS1,1.2450999999999999,1.06455
383,EH domain-containing protein 3,EHD3,1.1524,1.1812
384,Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A,CDK11B;CDC2L1;CDK11A,0.9810075,0.9145525000000001
385,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,FAM120B,1.356125,1.191225
389,,,0.990165,NA
390,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,0.98012,0.93438
393,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,1.38525,0.9508825
394,Four and a half LIM domains protein 1,FHL1,0.763935,1.00197
395,Dynamin-1,DNM1,1.7237,NA
396,Cytohesin-2,CYTH2,1.1772,0.9999600000000001
401,Ubiquitin-conjugating enzyme E2 A,UBE2A,1.0581375,0.936705
402,Synaptojanin-1,SYNJ1,1.2531949999999998,NA
403,Protein tyrosine phosphatase type IVA 1,PTP4A1,0.9873325,0.9362575
405,"HLA class II histocompatibility antigen, DR alpha chain",HLA-DRA,1.2229,1.16385
406,Protein diaphanous homolog 1,DIAPH1,0.9959199999999999,0.991165
407,Phostensin,PPP1R18,1.282875,1.294775
408,"HLA class I histocompatibility antigen, A-36 alpha chain;HLA class I histocompatibility antigen, A-1 alpha chain",HLA-A,0.9510075,1.0722
410,Histone-lysine N-methyltransferase EHMT2,EHMT2,1.18894,1.5086249999999999
411,Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,0.84515,1.0789499999999999
412,Tripartite motif-containing protein 26,TRIM26,0.8741924999999999,1.3468499999999999
413,Proteasome subunit beta type;Proteasome subunit beta type-9,PSMB9,0.8392474999999999,1.528225
414,Abhydrolase domain-containing protein 16A,ABHD16A,1.202715,1.065095
415,"HLA class II histocompatibility antigen, DR beta 4 chain",HLA-DRB4,1.314575,1.2521
416,Bromodomain-containing protein 2,BRD2,1.2308249999999998,0.9453875
417,Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain;Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain,C4B;C4A,2.4065,NA
418,Glucosylceramidase,GBA,1.2451750000000001,0.9740599999999999
420,Protein scribble homolog,SCRIB,1.037925,1.0328849999999998
425,Active breakpoint cluster region-related protein,ABR,1.179275,1.0500150000000001
430,Absent in melanoma 1 protein,AIM1,0.9549400000000001,0.9755175
431,DnaJ homolog subfamily B member 6,DNAJB6,1.0243425,0.91883
433,Serum paraoxonase/arylesterase 2,PON2,1.114625,0.8980225
434,WD repeat-containing protein 81,WDR81,1.091625,0.9904775
435,Disheveled-associated activator of morphogenesis 2,DAAM2,1.0407375,0.9185099999999999
436,Protein canopy homolog 4,CNPY4,1.1672,NA
439,Matrin-3,MATR3,1.158625,1.003305
442,,hCG_2043597,1.20815,NA
443,Endothelial protein C receptor,PROCR,1.087,NA
444,SCY1-like protein 2,SCYL2,1.10575,1.1848
445,WD repeat domain phosphoinositide-interacting protein 4,WDR45,1.12786,NA
446,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",ACAP2,1.065525,1.0795249999999998
447,C-myc promoter-binding protein,DENND4A,2.1725,NA
448,Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1;Histone H2A;Histone H2A type 1-A;Histone H2AX,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AA;H2AFX,0.95125,0.9842299999999999
453,Transcriptional repressor p66-beta,GATAD2B,1.1441625,1.09313
454,Negative elongation factor B,NELFB,1.287,1.80175
457,"HLA class I histocompatibility antigen, Cw-12 alpha chain;HLA class I histocompatibility antigen, Cw-16 alpha chain;HLA class I histocompatibility antigen, Cw-8 alpha chain;HLA class I histocompatibility antigen, Cw-15 alpha chain;HLA class I histocompatibility antigen, Cw-5 alpha chain;HLA class I histocompatibility antigen, Cw-14 alpha chain",HLA-C,1.305075,1.0896075
458,"HLA class I histocompatibility antigen, A-2 alpha chain",HLA-A,1.075335,1.2424
460,"HLA class I histocompatibility antigen, Cw-6 alpha chain;HLA class I histocompatibility antigen, Cw-18 alpha chain",HLA-C,0.9994475,1.452575
462,E3 ubiquitin-protein ligase RNF5,RNF5,0.97873,NA
463,Protein QIL1,QIL1;C19orf70,1.3188499999999999,1.02319
464,Intraflagellar transport protein 56,TTC26,6.4346,NA
467,Ubiquitin-like modifier-activating enzyme 6,UBA6,1.048925,0.993495
468,Extended synaptotagmin-2,ESYT2,1.094275,1.0064875
470,Shootin-1,KIAA1598,1.94675,1.341065
471,Transmembrane protein 223,TMEM223,1.5031500000000002,2.2927425
473,Acetolactate synthase-like protein,ILVBL,1.0655999999999999,0.947295
475,SH3 and PX domain-containing protein 2B,SH3PXD2B,0.9581225,0.9880950000000001
476,"Aconitate hydratase, mitochondrial",ACO2,1.1355,0.9389325
477,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",ALG6,1.2154500000000001,1.09654
478,Protein AAR2 homolog,AAR2,1.12832,1.112
479,Major prion protein,PRNP,1.440175,1.0258
482,"39S ribosomal protein L28, mitochondrial",MRPL28,0.9614199999999999,0.9581375000000001
484,Neuroblastoma-amplified sequence,NBAS,1.00434,0.9170125
485,tRNA wybutosine-synthesizing protein 5,TYW5,1.8272,1.033385
486,SLIT-ROBO Rho GTPase-activating protein 2,SRGAP2,1.1025749999999999,1.0456750000000001
487,von Willebrand factor A domain-containing protein 8,VWA8,0.9703475,0.8552325000000001
488,Protein strawberry notch homolog 1,SBNO1,1.031825,0.9464699999999999
489,GTP-binding protein 10,GTPBP10,1.0331125,0.9078075000000001
493,Transmembrane protein 189,TMEM189,1.0996299999999999,1.0339125
494,CCR4-NOT transcription complex subunit 1,CNOT1,0.9510325,0.9963525
497,Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2,MAP1LC3B;MAP1LC3B2,1.01044,0.98005
498,Phosphoglycolate phosphatase,PGP,0.981085,0.945635
499,RCC1 domain-containing protein 1,RCCD1,1.056975,1.398675
501,G antigen 12J,GAGE12J,1.0280375,1.0740399999999999
503,TRPM8 channel-associated factor 2,TCAF2,1.00767,NA
504,ADP-sugar pyrophosphatase,NUDT5,0.897565,0.9382625
505,WW domain-binding protein 2,WBP2,0.9706349999999999,0.8678625
507,Tubulin alpha chain-like 3,TUBAL3,1.1412,1.170875
508,rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1,FBLL1,1.1576499999999998,NA
509,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,0.99175,0.9820475
510,Protein unc-119 homolog B,UNC119B,0.9877750000000001,NA
512,"39S ribosomal protein L23, mitochondrial",MRPL23,0.956685,0.9148324999999999
515,Protein cornichon homolog 4,CNIH4,1.0950250000000001,1.0546
517,Tetraspanin;CD81 antigen,CD81,1.2375500000000001,1.11275
518,Protein diaphanous homolog 2,DIAPH2,0.950485,1.0305425000000001
519,DNA polymerase;DNA polymerase alpha catalytic subunit,POLA1,0.9558625,1.0003175
522,Protein Shroom1,SHROOM1,1.146415,NA
523,Obscurin-like protein 1,OBSL1,0.859775,0.9723925
524,Tetraspanin;CD9 antigen,CD9,1.060825,1.101375
526,Transcription factor SOX-10,SOX10,1.0471050000000002,1.130075
527,Serine/threonine-protein phosphatase 2A activator,PPP2R4;DKFZp781M17165,1.0395875,0.9407125000000001
530,Zinc finger SWIM domain-containing protein 8,ZSWIM8,0.9534874999999999,0.93398
532,Protein zyg-11 homolog B,ZYG11B,1.259725,1.187
533,Mesencephalic astrocyte-derived neurotrophic factor,MANF,1.0465,1.025175
534,Afadin,MLLT4,1.5552000000000001,1.4015
535,Fragile X mental retardation protein 1,FMR1,1.1901000000000002,1.0376750000000001
536,Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein N,SNRPN;SNRPB,0.9703174999999999,1.023005
537,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",PDPR,0.9117425000000001,1.1090499999999999
