id,Protein names,Gene names,PRO_30m_med,PRO_4h_med
114,60S ribosomal protein L17,RPL17;RPL17-C18orf32,0.95379,0.96355
115,Integrin beta;Integrin beta-6,ITGB6,1.0236,1.0525
116,Diphthine synthase,DPH5,0.99048,1.2102
118,Ribonuclease H2 subunit B,RNASEH2B,1.0523,1.2323
119,Required for meiotic nuclear division protein 1 homolog,RMND1,0.97226,0.96988
122,YTH domain-containing family protein 2,YTHDF2,0.94036,0.94123
123,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,1.4177,1.0022
124,AP-2 complex subunit mu,AP2M1,0.97353,0.97555
125,Protein jagunal homolog 1,JAGN1,1.159,1.0783
126,Transporter;Sodium- and chloride-dependent taurine transporter,SLC6A6,0.9917,1.1419
129,Seizure 6-like protein 2,SEZ6L2,1.2211,1.2332
132,ATP-dependent RNA helicase DHX29,DHX29,0.98569,1.0705
133,Selenoprotein H,C11orf31;SELH,0.96225,1.2256
134,Signal recognition particle 19 kDa protein,SRP19,1.3862,1.16
135,Sorting nexin;Sorting nexin-9,SNX9,1.1189,1.2056
136,UPF0585 protein C16orf13,C16orf13,0.78494,1.025
137,NK-tumor recognition protein;Putative peptidyl-prolyl cis-trans isomerase,NKTR,1.1424,1.0514
139,Ribonucleoprotein PTB-binding 1,RAVER1,1.446,1.0146
141,KRR1 small subunit processome component homolog,KRR1,1.1549,1.0169
143,Rho guanine nucleotide exchange factor 18,ARHGEF18,0.99354,0.94969
145,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",IDH3B,1.1195,1.0256
147,Methyltransferase-like protein 7B,METTL7B,1.3057,1.5123
150,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,PPIP5K2,1.149,1.2028
151,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,1.1231,0.98964
153,Kinesin-like protein;Kinesin-like protein KIF3A,KIF3A,1.0444,1.1242
163,Tight junction protein ZO-1,TJP1,0.9046,1.0591
164,Kanadaptin,SLC4A1AP,0.98442,1.1751
166,Sorting nexin-12,SNX12,1.0632,0.9759
167,Collagen alpha-1(VI) chain,COL6A1,0.89673,0.72404
168,Transcription factor p65,RELA,1.1894,0.98825
171,Nodal modulator 1,NOMO1,1.0616,1.009
172,Septin-8,SEPT8,1.1954,1.0278
173,Arfaptin-2,ARFIP2,1.0962,1.4278
175,15 kDa selenoprotein,SEP15,1.3053,0.99379
176,LisH domain-containing protein ARMC9,ARMC9,0.97276,1.0791
179,Ribonuclease P protein subunit p40,RPP40,0.94372,1.1954
182,Transcription intermediary factor 1-alpha,TRIM24,1.4687,NA
184,Gamma-tubulin complex component 5,TUBGCP5,1.0139,0.95437
186,Proteasome activator complex subunit 2,PSME2,0.98815,1.0434
188,Protein CIP2A,KIAA1524,0.86588,1.0007
189,WASH complex subunit 7,KIAA1033,1.0355,0.97269
190,Calponin;Calponin-2,CNN2,0.89334,1.1077
192,WD repeat-containing protein 6,WDR6,1.0969,1.1307
196,"39S ribosomal protein L45, mitochondrial",MRPL45,1.0159,0.93268
197,ATP-dependent RNA helicase DDX1,DDX1,0.97302,1.0032
198,E3 ubiquitin-protein ligase HECTD1,HECTD1,0.82337,0.94052
199,26S protease regulatory subunit 10B,PSMC6,0.99055,1.0051
204,Dedicator of cytokinesis protein 1,DOCK1,1.0772,0.98611
206,Ubiquitin-like protein ISG15,ISG15,1.282,1.0269
210,Uncharacterized protein FLJ45252,AAK1,1.3198,1.1799
213,"ES1 protein homolog, mitochondrial",C21orf33,1.0088,1.0305
214,Mitogen-activated protein kinase kinase kinase kinase;Mitogen-activated protein kinase kinase kinase kinase 5,MAP4K5,1.2581,NA
215,Protein RTF2 homolog,RTFDC1,0.99801,1.0074
216,Pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 3,PYCRL,1.0439,1.2897
219,Laminin subunit alpha-4,LAMA4,1.1046,1.0683
220,WD repeat-containing protein 18,WDR18,1.0606,1.0766
222,Selenocysteine lyase,SCLY,1.1805,0.95506
228,Voltage-dependent anion-selective channel protein 2,VDAC2,1.0705,1.0328
229,Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11C,SEC11C;SEC11L3,1.0015,1.0079
230,Target of rapamycin complex subunit LST8,MLST8,1.6403,1.6799
236,RNA-binding protein 10,RBM10,1.0105,1.1502
239,Titin,TTN,0.96656,1.0083
240,Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1,0.93414,0.97065
241,"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",EPB41L3,1.7516,0.55056
242,MAP kinase-activating death domain protein,MADD,1.2989,1.1554
244,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",ASAP1,1.0936,1.1625
245,WD repeat-containing protein 47,WDR47,1.232,0.85137
246,A-kinase anchor protein 9,AKAP9,1.2766,1.6012
248,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MRCK alpha,CDC42BPA,1.3133,1.0494
250,Protein-L-isoaspartate O-methyltransferase;Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PCMT1,0.93263,1.0187
251,G patch domain-containing protein 4,GPATCH4,1.1803,1.1977
252,Metaxin-1,MTX1,0.96369,1.0925
253,Unconventional myosin-VI,MYO6,0.94631,1.0216
254,Nucleolar and coiled-body phosphoprotein 1,NOLC1,1.0619,1.0769
255,Kynurenine--oxoglutarate transaminase 3,CCBL2,0.90217,1.2864
258,U1 small nuclear ribonucleoprotein C,SNRPC,1.4602,1.1531
261,Abl interactor 1,ABI1,1.1376,1.2768
262,Ribosome-binding protein 1,RRBP1,1.0671,0.97684
264,DDRGK domain-containing protein 1,DDRGK1,0.94812,1.1033
267,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,0.88262,0.78701
268,Sideroflexin;Sideroflexin-3,SFXN3,1.1223,1.0143
271,cAMP-dependent protein kinase catalytic subunit beta,PRKACB,0.86311,0.95047
272,"Calcium/calmodulin-dependent 3,5-cyclic nucleotide phosphodiesterase 1C",PDE1C,1.0121,1.0336
273,Myeloid differentiation primary response protein MyD88,MYD88,1.0954,1.1033
274,Eukaryotic translation initiation factor 4 gamma 3,EIF4G3,1.2173,1.1086
275,Poliovirus receptor,PVR,1.0736,0.89144
276,Exocyst complex component 7,EXOC7,1.1129,1.0662
278,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH,0.95764,1.0297
279,G patch domain-containing protein 11,GPATCH11,1.3159,1.182
280,Four and a half LIM domains protein 2,FHL2,1.3516,0.9353
281,Exocyst complex component 5,EXOC5,1.0319,0.97871
284,Protein arginine N-methyltransferase 3,PRMT3,1.0402,1.003
286,Aldo-keto reductase family 1 member C3,AKR1C3,1.108,1.1848
287,Tapasin,TAPBP,0.83605,1.0226
288,Aldo-keto reductase family 1 member C1,AKR1C1,1.0991,1.1365
290,Protein SCAF8,SCAF8,0.99225,1.029
292,Peptidyl-prolyl cis-trans isomerase;FK506-binding protein 15,FKBP15,1.1146,1.1614
295,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD,1.0164,0.94664
297,Tumor suppressor candidate 3,TUSC3,1.172,1.1603
300,"Valine--tRNA ligase, mitochondrial",VARS2,0.91143,0.94444
302,Integrin-linked protein kinase,ILK,1.1322,1.0212
304,TATA-binding protein-associated factor 172,BTAF1,1.0083,0.92826
305,Neutral cholesterol ester hydrolase 1,NCEH1,1.0507,0.94783
308,Cullin-2,CUL2,1.0249,1.0067
309,6.8 kDa mitochondrial proteolipid,C14orf2;MP68,0.92971,1.041
312,Iron-responsive element-binding protein 2,IREB2,0.83908,1.0632
314,Arpin,C15orf38-AP3S2;ARPIN,1.0467,0.98313
317,UPF0562 protein C7orf55;Putative RNA-binding protein Luc7-like 2,LUC7L2;C7orf55;C7orf55-LUC7L2,1.0229,1.0267
319,Coronin;Coronin-7;Mitochondrial import inner membrane translocase subunit TIM16,CORO7-PAM16;CORO7;PAM16,0.98566,0.95143
321,UPF0693 protein C10orf32,C10orf32-ASMT;C10orf32,1.3236,1.3239
323,,C11orf98,0.94198,0.9575
326,Trafficking protein particle complex subunit 2-like protein,TRAPPC2L,1.2551,0.94545
329,Translationally-controlled tumor protein,TPT1,0.88911,0.99419
330,Periodic tryptophan protein 2 homolog,PWP2,1.1837,1.3045
331,Lanosterol 14-alpha demethylase,CYP51A1,0.87691,0.88475
333,Transmembrane 9 superfamily member 4,TM9SF4,1.0677,1.0075
336,Monoglyceride lipase,MGLL,1.5105,0.87536
339,Protein UXT,UXT,1.0316,0.99845
341,"Superoxide dismutase;Superoxide dismutase [Mn], mitochondrial",SOD2,1.2365,1.1934
343,EMILIN-1,EMILIN1,0.80992,0.81315
344,Negative elongation factor A,NELFA,1.8324,1.0159
345,40S ribosomal protein SA,RPSA,0.99007,1.0264
346,Abl interactor 2,ABI2,1.0229,1.0921
349,Nesprin-1,SYNE1,1.0498,1.1632
350,"Serine protease HTRA2, mitochondrial",HTRA2,1.5779,1.1991
354,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2,0.95915,1.6109
360,Protein kinase C and casein kinase substrate in neurons protein 3,PACSIN3,0.86953,1.3256
361,Chromodomain-helicase-DNA-binding protein 4,CHD4,0.98577,0.96397
362,CD276 antigen,CD276,1.0276,0.93682
365,Alpha-mannosidase;Alpha-mannosidase 2x,MAN2A2,1.2941,1.6492
367,ARF GTPase-activating protein GIT1,GIT1,1.2898,1.1502
368,Cytoplasmic phosphatidylinositol transfer protein 1,PITPNC1,1.131,1.1329
369,Calpain small subunit 1,CAPNS1,1.1373,1.0109
371,Dehydrogenase/reductase SDR family member 7B,DHRS7B,1.0378,0.91332
372,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,0.94366,0.95716
373,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,1.0663,1.0347
374,Golgin subfamily A member 2,GOLGA2,1.0452,1.087
376,Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),RBP4,0.15835,0.27858
377,UPF0600 protein C5orf51,C5orf51,1.5196,1.0398
378,"39S ribosomal protein L22, mitochondrial",MRPL22,1.0535,0.99297
379,DNA-directed RNA polymerase;DNA-directed RNA polymerase II subunit RPB1,POLR2A,1.0583,0.95795
380,Tripeptidyl-peptidase 1,TPP1,1.1472,1.2421
382,Thromboxane-A synthase,TBXAS1,1.2522,1.0611
383,EH domain-containing protein 3,EHD3,1.1535,1.1668
384,Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A,CDK11B;CDC2L1;CDK11A,0.9817,0.89785
385,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,FAM120B,1.0853,0.99445
390,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,0.9521,0.94606
393,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,1.4064,0.94614
394,Four and a half LIM domains protein 1,FHL1,0.75723,1.0203
396,Cytohesin-2,CYTH2,1.2542,0.97208
401,Ubiquitin-conjugating enzyme E2 A,UBE2A,1.0081,0.93491
403,Protein tyrosine phosphatase type IVA 1,PTP4A1,0.97915,0.94323
405,"HLA class II histocompatibility antigen, DR alpha chain",HLA-DRA,1.2741,1.1699
406,Protein diaphanous homolog 1,DIAPH1,0.98542,0.99701
407,Phostensin,PPP1R18,1.0922,1.3859
408,"HLA class I histocompatibility antigen, A-36 alpha chain;HLA class I histocompatibility antigen, A-1 alpha chain",HLA-A,0.95393,1.0561
410,Histone-lysine N-methyltransferase EHMT2,EHMT2,1.2259,1.2562
411,Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,0.84493,1.0851
412,Tripartite motif-containing protein 26,TRIM26,0.86767,1.5391
413,Proteasome subunit beta type;Proteasome subunit beta type-9,PSMB9,0.91833,1.4425
414,Abhydrolase domain-containing protein 16A,ABHD16A,1.1325,1.1904
415,"HLA class II histocompatibility antigen, DR beta 4 chain",HLA-DRB4,1.2971,1.1916
416,Bromodomain-containing protein 2,BRD2,1.2767,0.89017
418,Glucosylceramidase,GBA,1.2237,1.037
420,Protein scribble homolog,SCRIB,1.0414,1.0246
425,Active breakpoint cluster region-related protein,ABR,1.1398,0.98216
430,Absent in melanoma 1 protein,AIM1,0.95103,0.99145
431,DnaJ homolog subfamily B member 6,DNAJB6,0.95097,0.843
433,Serum paraoxonase/arylesterase 2,PON2,1.1092,0.87693
434,WD repeat-containing protein 81,WDR81,1.0601,0.99257
435,Disheveled-associated activator of morphogenesis 2,DAAM2,1.0767,0.91614
439,Matrin-3,MATR3,1.1729,1.0009
444,SCY1-like protein 2,SCYL2,1.0729,1.0436
446,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",ACAP2,1.0521,1.0852
448,Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1;Histone H2A;Histone H2A type 1-A;Histone H2AX,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AA;H2AFX,1.0442,1.012
453,Transcriptional repressor p66-beta,GATAD2B,1.0044,1.214
454,Negative elongation factor B,NELFB,1.2342,2.3466
457,"HLA class I histocompatibility antigen, Cw-12 alpha chain;HLA class I histocompatibility antigen, Cw-16 alpha chain;HLA class I histocompatibility antigen, Cw-8 alpha chain;HLA class I histocompatibility antigen, Cw-15 alpha chain;HLA class I histocompatibility antigen, Cw-5 alpha chain;HLA class I histocompatibility antigen, Cw-14 alpha chain",HLA-C,1.2038,1.1103
458,"HLA class I histocompatibility antigen, A-2 alpha chain",HLA-A,1.095,1.1734
460,"HLA class I histocompatibility antigen, Cw-6 alpha chain;HLA class I histocompatibility antigen, Cw-18 alpha chain",HLA-C,0.98203,1.6905
463,Protein QIL1,QIL1;C19orf70,1.3074,1.0415
467,Ubiquitin-like modifier-activating enzyme 6,UBA6,1.0342,0.99006
468,Extended synaptotagmin-2,ESYT2,1.0725,0.9908
470,Shootin-1,KIAA1598,1.8636,1.4975
471,Transmembrane protein 223,TMEM223,1.266,0.92909
473,Acetolactate synthase-like protein,ILVBL,1.0492,0.95673
475,SH3 and PX domain-containing protein 2B,SH3PXD2B,0.97338,0.90466
476,"Aconitate hydratase, mitochondrial",ACO2,1.1437,0.93037
477,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",ALG6,1.1261,1.131
478,Protein AAR2 homolog,AAR2,1.1453,1.1462
479,Major prion protein,PRNP,1.3002,1.1896
482,"39S ribosomal protein L28, mitochondrial",MRPL28,0.99002,0.95263
484,Neuroblastoma-amplified sequence,NBAS,1.0166,0.91395
485,tRNA wybutosine-synthesizing protein 5,TYW5,1.6993,1.1803
486,SLIT-ROBO Rho GTPase-activating protein 2,SRGAP2,1.1156,1.0291
487,von Willebrand factor A domain-containing protein 8,VWA8,0.96989,0.8324
488,Protein strawberry notch homolog 1,SBNO1,1.0168,0.91345
489,GTP-binding protein 10,GTPBP10,0.96435,0.89017
493,Transmembrane protein 189,TMEM189,1.0224,1.0429
494,CCR4-NOT transcription complex subunit 1,CNOT1,0.9528,0.99856
497,Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2,MAP1LC3B;MAP1LC3B2,1.0259,0.98995
498,Phosphoglycolate phosphatase,PGP,0.98498,0.9509
499,RCC1 domain-containing protein 1,RCCD1,1.0566,1.606
501,G antigen 12J,GAGE12J,1.0379,1.1601
504,ADP-sugar pyrophosphatase,NUDT5,0.91077,0.92222
505,WW domain-binding protein 2,WBP2,0.97646,0.86674
507,Tubulin alpha chain-like 3,TUBAL3,1.1994,1.1837
509,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,0.9841,0.97972
512,"39S ribosomal protein L23, mitochondrial",MRPL23,0.95136,0.89279
515,Protein cornichon homolog 4,CNIH4,1.0992,1.0236
517,Tetraspanin;CD81 antigen,CD81,1.2517,1.0876
518,Protein diaphanous homolog 2,DIAPH2,0.97126,1.0639
519,DNA polymerase;DNA polymerase alpha catalytic subunit,POLA1,0.94168,0.97903
522,Protein Shroom1,SHROOM1,1.0175,NA
523,Obscurin-like protein 1,OBSL1,0.86048,0.96939
524,Tetraspanin;CD9 antigen,CD9,1.0704,1.1204
526,Transcription factor SOX-10,SOX10,1.0842,1.1225
527,Serine/threonine-protein phosphatase 2A activator,PPP2R4;DKFZp781M17165,1.0299,0.93738
530,Zinc finger SWIM domain-containing protein 8,ZSWIM8,0.97125,0.98128
532,Protein zyg-11 homolog B,ZYG11B,1.2079,1.1797
533,Mesencephalic astrocyte-derived neurotrophic factor,MANF,1.0637,1.021
534,Afadin,MLLT4,1.6624,1.3993
535,Fragile X mental retardation protein 1,FMR1,1.2735,1.0379
536,Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein N,SNRPN;SNRPB,0.97112,1.0277
537,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",PDPR,0.85671,1.0968
538,Down syndrome critical region protein 3,DSCR3,1.0633,0.93126
539,Transmembrane protein 147,TMEM147,1.0083,0.93725
541,Protein TSSC1,TSSC1,0.96766,1.2347
542,Pre-mRNA-splicing factor ISY1 homolog,ISY1,0.99013,0.9686
544,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,SNRPG;SNRPGP15,1.1113,1.0284
545,TFIIH basal transcription factor complex helicase XPD subunit,ERCC2,1.297,1.1561
547,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",NUDT19,0.9985,0.94544
549,Ras-related protein Rab-34,RAB34,0.96194,1.0394
552,Serine/arginine repetitive matrix protein 1,SRRM1,1.0225,0.926
554,Eukaryotic translation initiation factor 3 subunit L,EIF3L,0.99365,0.98816
557,RNA-binding protein EWS,EWSR1,1.0379,0.9709
559,SUMO-conjugating enzyme UBC9,UBE2I,0.94184,0.94714
560,Peroxisomal membrane protein PMP34,SLC25A17,0.9223,1.2005
561,Copine-1,CPNE1,1.1246,0.98283
563,Coatomer subunit delta,ARCN1,1.0453,1.0107
564,Translocator protein,TSPO,1.1574,1.07
566,26S proteasome non-ATPase regulatory subunit 10,PSMD10,1.0486,0.98803
570,Nardilysin,NRD1,0.95185,0.99198
573,Protein SMG7,SMG7,1.674,1.4572
575,Rho guanine nucleotide exchange factor 7,ARHGEF7,1.0318,1.0432
577,Transmembrane protein 9,TMEM9,1.104,1.2682
581,Polyadenylate-binding protein;Polyadenylate-binding protein 4,PABPC4,0.97558,0.97672
583,Epidermal growth factor receptor substrate 15,EPS15,1.0141,1.0419
584,Sphingomyelin phosphodiesterase 4,SMPD4,0.99189,1.1992
585,Histone H2B;Histone H2B type 1-L;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 2-F;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type F-S;Histone H2B type 1-K;Histone H2B type 1-A,HIST1H2BI;HIST1H2BN;HIST1H2BL;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK;HIST1H2BA,1.0953,1.0868
587,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,JMJD6,1.096,1.0587
588,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",ISCU,1.1259,0.95123
589,Eukaryotic translation initiation factor 3 subunit H,EIF3H,0.94881,1.0328
590,"Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase, mitochondrial",BCAT2,0.95463,0.95458
591,Mortality factor 4-like protein 1,MORF4L1,1.0336,0.98495
592,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,CDIPT,1.0728,0.89716
596,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,SMARCE1,1.248,1.0019
597,Catenin beta-1,CTNNB1,0.95081,1.0439
598,RNA-binding protein Musashi homolog 2,MSI2,1.2299,0.90934
599,Rab GTPase-binding effector protein 2,RABEP2,1.1748,1.0293
600,von Willebrand factor A domain-containing protein 9,VWA9,1.1244,1.0058
601,"Citrate synthase;Citrate synthase, mitochondrial",CS,0.98043,0.9508
603,Protein farnesyltransferase subunit beta,CHURC1-FNTB;FNTB,0.93831,0.94017
604,,,0.84492,0.96898
606,Macrophage erythroblast attacher,MAEA,0.98628,0.90635
607,Protein transport protein Sec61 subunit alpha isoform 1,SEC61A1,1.1794,1.0423
608,Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 36 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit,STK24,1.0239,0.99388
609,Serine/threonine-protein kinase;Serine/threonine-protein kinase D2,PRKD2,1.0307,1.1239
611,S-methyl-5-thioadenosine phosphorylase;Purine nucleoside phosphorylase,MTAP,1.0243,0.99514
614,Nucleoside diphosphate kinase 7,NME7,0.99316,1.0073
615,Fragile X mental retardation syndrome-related protein 1,FXR1,1.0762,1.0442
616,Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 4;Heterogeneous nuclear ribonucleoprotein C-like 1;Heterogeneous nuclear ribonucleoprotein C-like 3;Heterogeneous nuclear ribonucleoprotein C-like 2,HNRNPC;HNRNPCL4;HNRNPCL1;HNRNPCL3;HNRNPCL2,0.99521,0.96514
617,Interleukin enhancer-binding factor 2,ILF2,1.0018,0.93489
619,Arginyl-tRNA--protein transferase 1,ATE1,1.344,1.1096
620,Derlin-1,DERL1,0.99617,1.086
623,Calcium-transporting ATPase;Calcium-transporting ATPase type 2C member 1,ATP2C1,1.3838,1.3611
625,RNA-binding protein with multiple splicing,RBPMS,0.96805,0.96634
629,Pescadillo homolog,PES1,0.94438,0.87387
631,Chromobox protein homolog 1,CBX1,1.0028,1.0107
632,Protein RFT1 homolog,RFT1,0.90153,0.9404
