Zebrafish chromosome,Start position,Stop position,Amplification_G-score,Deletion_G-score,Amplification_q-value,Deletion_q-value,Zebrafish gene ID
zv1,6888661,6890971,119,733,0,1.167129416,ZDB-GENE-090313-334
zv1,6893923,6897443,119,748,0,1.224662943,ZDB-GENE-090312-156
zv1,6893923,6897443,68,748,0,1.224662943,ZDB-GENE-090312-156
zv1,6902305,6910676,134,900,0,1.934988762,ZDB-GENE-090312-75
zv1,6914084,6920400,157,1010,0,3.312733786,ZDB-GENE-030131-9145
zv1,6922806,6930826,157,1010,0,3.312733786,ZDB-GENE-090313-337
zv1,6922806,6930826,184,1010,0,3.312733786,ZDB-GENE-090313-337
zv1,6938743,6946420,114,1017,0,3.374777588,ZDB-GENE-090313-338
zv1,6963510,6967670,124,779,0,1.496435075,ZDB-GENE-030131-4806
zv1,6974998,6978242,124,742,0,1.232283858,ZDB-GENE-090313-339
zv1,6983833,6989556,124,742,0,1.232283858,ZDB-GENE-050302-48
zv1,7001580,7004772,124,742,0,1.232283858,ZDB-GENE-090313-336
zv1,7020257,7025402,124,742,0,1.232283858,ZDB-GENE-071206-1
zv1,6993874,6996637,124,742,0,1.232283858,ZDB-GENE-090313-335
zv1,7192320,7219398,124,688,0,0.984026917,ZDB-GENE-050913-4
zv1,7492067,7504845,125,688,0,0.864727864,ZDB-GENE-070822-6
zv1,7518155,7583314,125,668,0,0.769011076,ZDB-GENE-090312-149
zv1,7518155,7583314,188,668,0,0.769011076,ZDB-GENE-090312-149
zv1,7610782,7616134,125,668,0,0.737202646,ZDB-GENE-061122-1
zv1,7584837,7592679,125,668,0,0.737202646,ZDB-GENE-061013-602
zv1,7615755,7629382,125,668,0,0.737202646,ZDB-GENE-050306-1
zv1,7631414,7642543,125,668,0,0.737202646,ZDB-GENE-030131-6146
zv1,7597407,7608093,125,668,0,0.737202646,ZDB-GENE-060929-864
zv1,7725183,7728816,139,661,0,0.700274483,ZDB-GENE-000329-1
zv1,7770280,7778767,139,661,0,0.700274483,ZDB-GENE-030131-1107
zv1,8038708,8042130,139,661,0,0.700274483,ZDB-GENE-090313-141
zv1,8050584,8054047,139,661,0,0.700274483,ZDB-GENE-090313-142
zv1,8054992,8056749,139,661,0,0.700274483,ZDB-GENE-090312-62
zv1,8062222,8064588,139,661,0,0.700274483,ZDB-GENE-040219-6
zv1,8176531,8180715,139,745,0,1.252258424,ZDB-GENE-051214-4
zv1,8181123,8191118,139,745,0,1.252258424,ZDB-GENE-090313-42
zv1,8194184,8199549,139,745,0,1.252258424,ZDB-GENE-040801-1
zv1,8221042,8221978,139,661,0,0.700274483,ZDB-GENE-060818-9
zv1,8229225,8237927,139,661,0,0.700274483,ZDB-GENE-021115-7
zv1,8303165,8304091,139,661,0,0.700274483,ZDB-GENE-081022-188
zv1,7714246,7723025,139,661,0,0.700274483,ZDB-GENE-050913-65
zv1,7749150,7768053,139,661,0,0.700274483,ZDB-GENE-050517-36
zv1,7912549,7914310,139,661,0,0.700274483,ZDB-GENE-070424-224
zv1,8026958,8039880,139,661,0,0.700274483,ZDB-GENE-090313-140
zv1,8158501,8167743,139,661,0,0.700274483,ZDB-GENE-090312-124
zv1,8201107,8210129,139,745,0,1.252258424,ZDB-GENE-090313-43
zv1,8275115,8303288,139,661,0,0.700274483,ZDB-GENE-050522-508
zv1,8311012,8326027,139,661,0,0.700274483,ZDB-GENE-060421-2552
zv1,8335015,8354121,139,661,0,0.700274483,ZDB-GENE-070928-28
zv1,7841708,7993986,139,661,0,0.700274483,ZDB-GENE-070424-223
zv1,8080803,8140996,139,661,0,0.700274483,ZDB-GENE-040426-1354
zv1,8245891,8271713,139,661,0,0.700274483,ZDB-GENE-090312-15
zv1,8366187,8370199,106,661,0,0.700274483,ZDB-GENE-050714-1
zv1,8335015,8354121,106,661,0,0.700274483,ZDB-GENE-070928-28
zv1,8353930,8361435,106,661,0,0.700274483,ZDB-GENE-100922-172
zv1,8366187,8370199,149,661,0,0.700274483,ZDB-GENE-050714-1
zv1,8535844,8562298,149,639,0,0,ZDB-GENE-030131-5803
zv1,8535844,8562298,120,639,0,0,ZDB-GENE-030131-5803
zv1,8719060,8728809,138,696,0,0.915263562,ZDB-GENE-100406-4
zv1,8707081,8728780,138,696,0,0.915263562,ZDB-GENE-070112-2332
zv1,8712062,8728809,138,696,0,0.915263562,ZDB-GENE-100406-5
zv1,8719060,8728809,93,696,0,0.915263562,ZDB-GENE-100406-4
zv1,8784918,8787329,93,693,0,0.895081988,ZDB-GENE-080327-21
zv1,8707081,8728780,93,696,0,0.915263562,ZDB-GENE-070112-2332
zv1,8712062,8728809,93,696,0,0.915263562,ZDB-GENE-100406-5
zv1,8815454,8934592,122,706,0,0.90177891,ZDB-GENE-040426-1081
zv1,8936465,8942940,93,706,0,0.984026917,ZDB-GENE-030722-6
zv1,8949379,8961410,93,693,0,0.915263562,ZDB-GENE-040426-1019
zv1,8815454,8934592,93,706,0,0.90177891,ZDB-GENE-040426-1081
zv1,8949379,8961410,109,693,0,0.915263562,ZDB-GENE-040426-1019
zv1,9030573,9040849,109,693,0,0.895081988,ZDB-GENE-040426-705
zv1,9048649,9056894,109,758,0,1.346573747,ZDB-GENE-090312-58
zv1,9062759,9064924,109,821,0,1.83352467,ZDB-GENE-090313-396
zv1,9070895,9076445,109,758,0,1.660132176,ZDB-GENE-090313-394
zv1,9094550,9109197,109,690,0,0.877430589,ZDB-GENE-090312-70
zv1,9113528,9124598,109,690,0,0.877430589,ZDB-GENE-040426-1104
zv1,9127847,9135580,109,690,0,0.877430589,ZDB-GENE-030131-9261
zv1,8963075,8990714,109,693,0,0.895081988,ZDB-GENE-080220-46
zv1,8995993,9016578,109,693,0,0.895081988,ZDB-GENE-090312-158
zv1,9139585,9147623,109,690,0,0.877430589,ZDB-GENE-031010-21
zv1,9042468,9058198,109,821,0,1.346573747,ZDB-GENE-090313-395
zv1,9250794,9289291,93,690,0,0.915263562,ZDB-GENE-030131-9581
zv1,9250794,9289291,111,690,0,0.915263562,ZDB-GENE-030131-9581
zv1,9303312,9313555,111,690,0,0.877430589,ZDB-GENE-061013-298
zv1,9638795,9649733,122,667,0,0.732925884,ZDB-GENE-050411-12
zv1,9481714,9491309,122,662,0,0.704318854,ZDB-GENE-040426-1901
zv1,9554809,9672912,122,667,0,0.732925884,ZDB-GENE-020402-4
zv1,9662985,9796562,122,667,0,0.749129113,ZDB-GENE-040812-1
zv1,9662985,9796562,96,667,0,0.749129113,ZDB-GENE-040812-1
zv1,9818786,9823408,122,667,0,0.732925884,ZDB-GENE-080327-33
zv1,9812182,9816727,122,667,0,0.732925884,ZDB-GENE-080204-80
zv1,9662985,9796562,122,667,0,0.749129113,ZDB-GENE-040812-1
zv1,9947577,9952650,139,653,0,0.653151076,ZDB-GENE-090312-121
zv1,10291239,10301481,139,641,0,0,ZDB-GENE-081022-187
zv1,9896397,9915324,139,595,0,0,ZDB-GENE-001127-4
zv1,9993396,10005135,139,618,0,0,ZDB-GENE-071120-6
zv1,10270508,10288356,139,641,0,0,ZDB-GENE-030131-5437
zv1,9959773,9982728,139,653,0,0.653151076,ZDB-GENE-090313-144
zv1,10008204,10258954,139,641,0,0,ZDB-GENE-010426-1
zv1,10308297,10556009,139,641,0,0,ZDB-GENE-090311-17
zv1,10308297,10556009,289,641,0,0,ZDB-GENE-090311-17
zv1,10776921,10777952,139,690,0,0.877430589,ZDB-GENE-090312-214
zv1,10787133,10788026,139,690,0,0.877430589,ZDB-GENE-090312-165
zv1,10308297,10556009,139,641,0,0,ZDB-GENE-090311-17
zv1,10807375,10812757,153,716,0,1.04958769,ZDB-GENE-090312-212
zv1,10822605,10823555,153,716,0,1.04958769,ZDB-GENE-090312-216
zv1,10917543,10918718,139,632,0,0,ZDB-GENE-090312-144
zv1,11180888,11184203,139,632,0,0,ZDB-GENE-040419-2
zv1,11225305,11228820,139,632,0,0,ZDB-GENE-070410-18
zv1,11690336,11694017,139,610,0,0,ZDB-GENE-040426-1862
zv1,10852002,10870648,139,632,0,0,ZDB-GENE-060421-6989
zv1,10892349,10914253,139,632,0,0,ZDB-GENE-090312-134
zv1,11036567,11059968,139,632,0,0,ZDB-GENE-090312-217
zv1,11192286,11221304,139,632,0,0,ZDB-GENE-040426-1205
zv1,11231665,11240875,139,632,0,0,ZDB-GENE-060929-208
zv1,11440944,11457519,139,612,0,0,ZDB-GENE-050417-236
zv1,11468693,11487314,139,655,0,0.614134032,ZDB-GENE-070410-116
zv1,11492071,11524487,139,655,0,0.66552941,ZDB-GENE-040426-2103
zv1,11559351,11574952,139,612,0,0,ZDB-GENE-040718-160
zv1,11591629,11630714,139,590,0,0,ZDB-GENE-040426-1848
zv1,11631992,11640923,139,610,0,0,ZDB-GENE-030131-1500
zv1,11644344,11658061,139,610,0,0,ZDB-GENE-040426-1986
zv1,10872845,10888788,139,632,0,0,ZDB-GENE-090312-175
zv1,10962667,11031476,139,632,0,0,ZDB-GENE-051120-105
zv1,11245714,11280431,139,671,0,0,ZDB-GENE-060825-277
zv1,11660587,11693389,139,610,0,0,ZDB-GENE-030131-3278
zv1,11527849,11554350,139,612,0,0.635719074,ZDB-GENE-090312-131
zv1,12145910,12155872,154,658,0,0.684827036,ZDB-GENE-000607-1
zv1,12093416,12126855,154,658,0,0.684827036,ZDB-GENE-020731-1
zv1,12841965,12860838,154,619,0,0,ZDB-GENE-031215-1
zv1,13048224,13118821,154,644,0,0.601839865,ZDB-GENE-040718-277
zv1,13168437,13194741,154,614,0,0,ZDB-GENE-051120-168
zv1,13267564,13288426,154,765,0,1.160019801,ZDB-GENE-041010-138
zv1,13228201,13249457,154,614,0,0,ZDB-GENE-050720-1
zv1,13290843,13301180,123,765,0,1.391488757,ZDB-GENE-040426-778
zv1,13267564,13288426,123,765,0,1.160019801,ZDB-GENE-041010-138
zv1,13317179,13327647,123,888,0,2.355945081,ZDB-GENE-000524-1
zv1,13339435,13348758,160,769,0,1.414991737,ZDB-GENE-031117-1
zv1,13943360,13950252,164,662,0,0.704318854,ZDB-GENE-060929-564
zv1,13985428,14011921,164,662,0,0.704318854,ZDB-GENE-070112-990
zv1,13865540,13927467,164,662,0,0.704318854,ZDB-GENE-120206-1
zv1,15134972,15136368,164,663,0,0.708938876,ZDB-GENE-060110-1
zv1,16207851,16208350,164,667,0,0.732925884,ZDB-GENE-061207-61
zv1,15204974,15222101,164,663,0,0.708938876,ZDB-GENE-030131-8312
zv1,15226108,15249679,164,663,0,0.708938876,ZDB-GENE-050913-66
zv1,15363240,15396056,164,663,0,0.708938876,ZDB-GENE-030131-428
zv1,15396153,15406860,164,663,0,0.708938876,ZDB-GENE-040426-1512
zv1,16072419,16103050,164,667,0,0.732925884,ZDB-GENE-090313-62
zv1,16269237,16278202,164,667,0,0.732925884,ZDB-GENE-011210-1
zv1,16279346,16329447,164,667,0,0.732925884,ZDB-GENE-050809-115
zv1,16118817,16266817,164,667,0,0.807090745,ZDB-GENE-050425-1
zv1,16335287,16336940,204,667,0,0.732925884,ZDB-GENE-040824-6
zv1,16279346,16329447,204,667,0,0.732925884,ZDB-GENE-050809-115
zv1,16359910,16392118,204,667,0,0.732925884,ZDB-GENE-080225-6
zv1,16418640,16420984,164,667,0,0.732925884,ZDB-GENE-030131-5275
zv1,16437321,16440668,164,667,0,0.732925884,ZDB-GENE-070308-1
zv1,16454586,16457388,164,667,0,0.732925884,ZDB-GENE-090313-283
zv1,16600275,16603823,164,667,0,0.732925884,ZDB-GENE-090313-375
zv1,16634839,16640122,164,667,0,0.732925884,ZDB-GENE-040219-7
zv1,16394283,16416932,164,667,0,0.732925884,ZDB-GENE-090313-282
zv1,16422939,16435168,164,667,0,0.732925884,ZDB-GENE-030131-9405
zv1,16441366,16453571,164,667,0,0.732925884,ZDB-GENE-030131-8726
zv1,16463748,16477756,164,667,0,0.732925884,ZDB-GENE-050505-1
zv1,16929507,16979566,164,667,0,0.732925884,ZDB-GENE-090313-54
zv1,16359910,16392118,164,667,0,0.732925884,ZDB-GENE-080225-6
zv1,16489551,16545509,164,667,0,0.732925884,ZDB-GENE-070308-2
zv1,16642201,16654540,164,667,0,0.732925884,ZDB-GENE-061103-601
zv1,16993230,17078773,164,682,0,0.737202646,ZDB-GENE-990415-155
zv1,17105728,17188056,164,682,0,0.825783607,ZDB-GENE-080424-7
zv1,17552786,17553412,161,661,0,0.700274483,ZDB-GENE-090313-198
zv1,17553574,17558701,161,661,0,0.700274483,ZDB-GENE-040426-1722
zv1,17571242,17574751,161,661,0,0.700274483,ZDB-GENE-100921-3
zv1,17583357,17590924,161,661,0,0.700274483,ZDB-GENE-081022-208
zv1,17317642,17333963,161,676,0,0.787902061,ZDB-GENE-070410-52
zv1,17336041,17356958,161,676,0,0.787902061,ZDB-GENE-011116-1
zv1,17521063,17545814,161,661,0,0.700274483,ZDB-GENE-040426-2218
zv1,17604955,17675566,161,661,0,0.700274483,ZDB-GENE-030131-8693
zv1,17707645,17808222,161,658,0,0.793333743,ZDB-GENE-090312-153
zv1,17292759,17305216,161,676,0,0.787902061,ZDB-GENE-090313-219
zv1,17387243,17514136,161,676,0,0.787902061,ZDB-GENE-060710-1
zv1,17707645,17808222,214,658,0,0.793333743,ZDB-GENE-090312-153
zv1,17816221,17821852,161,658,0,0.684827036,ZDB-GENE-090313-51
zv1,18045136,18049883,161,658,0,0.684827036,ZDB-GENE-060810-149
zv1,18257123,18259686,161,658,0,0.684827036,ZDB-GENE-061207-64
zv1,18277039,18279254,161,658,0,0.684827036,ZDB-GENE-061207-63
zv1,18432761,18436615,161,658,0,0.684827036,ZDB-GENE-030131-3146
zv1,18501265,18505933,161,658,0,0.684827036,ZDB-GENE-050522-20
zv1,18550346,18557344,161,658,0,0.684827036,ZDB-GENE-090313-117
zv1,17707645,17808222,161,658,0,0.793333743,ZDB-GENE-090312-153
zv1,17836443,17854829,161,658,0,0.684827036,ZDB-GENE-090313-52
zv1,18160275,18173405,161,658,0,0.684827036,ZDB-GENE-060719-1
zv1,18174899,18208348,161,658,0,0.684827036,ZDB-GENE-030408-2
zv1,18277015,18303696,161,658,0,0.684827036,ZDB-GENE-030131-105
zv1,18304647,18341137,161,658,0,0.684827036,ZDB-GENE-061207-66
zv1,18379207,18390122,161,658,0,0.684827036,ZDB-GENE-050522-251
zv1,18391440,18407669,161,658,0,0.684827036,ZDB-GENE-040426-2254
zv1,18409842,18415795,161,658,0,0.684827036,ZDB-GENE-090313-116
zv1,18506890,18544497,161,658,0,0.684827036,ZDB-GENE-090312-31
zv1,18577698,18587434,161,658,0,0.684827036,ZDB-GENE-040426-1847
zv1,18680382,18734689,161,658,0,0.684827036,ZDB-GENE-090313-73
zv1,18807188,18811849,161,657,0,0.67824222,ZDB-GENE-040426-2328
zv1,17864815,17979507,161,658,0,0.684827036,ZDB-GENE-070615-38
zv1,18074732,18087943,161,658,0,0.684827036,ZDB-GENE-040718-249
zv1,18214923,18244273,161,658,0,0.684827036,ZDB-GENE-050916-2
zv1,18344284,18374048,161,658,0,0.684827036,ZDB-GENE-090313-270
zv1,18450403,18498254,161,658,0,0.684827036,ZDB-GENE-081112-1
zv1,18591063,18628284,161,658,0,0.684827036,ZDB-GENE-090312-139
zv1,18885370,19054531,161,661,0,0.732925884,ZDB-GENE-090312-199
zv1,17825396,17834050,161,658,0,0.684827036,ZDB-GENE-041010-180
zv1,18822537,18879992,161,723,0,0.74278459,ZDB-GENE-090313-45
zv1,19262413,19334433,133,840,0,0.851986815,ZDB-GENE-090313-212
zv1,19710741,19711747,171,649,0,0.630885616,ZDB-GENE-100922-113
zv1,19718015,19719816,171,649,0,0.630885616,ZDB-GENE-090312-41
zv1,19337371,19375082,171,642,0,1.562497102,ZDB-GENE-060616-129
zv1,19374957,19388456,171,642,0,0,ZDB-GENE-100922-47
zv1,19416494,19487600,171,661,0,0.620212638,ZDB-GENE-090311-24
zv1,19697855,19710076,171,649,0,0.630885616,ZDB-GENE-040426-2670
zv1,19713356,19751570,171,649,0,0.630885616,ZDB-GENE-090312-193
zv1,19262413,19334433,171,840,0,0.851986815,ZDB-GENE-090313-212
zv1,19514406,19607327,171,649,0,0.630885616,ZDB-GENE-041020-1
zv1,19620786,19692601,171,649,0,0.630885616,ZDB-GENE-090313-68
zv1,19762279,19767428,324,559,0,0,ZDB-GENE-090312-87
zv1,19782088,19787237,361,471,0,0,ZDB-GENE-090312-86
zv1,19772181,19777330,361,471,0,0,ZDB-GENE-090312-85
zv1,19791993,19797234,417,607,0,0,ZDB-GENE-090312-84
zv1,20092032,20095242,142,577,0,0,ZDB-GENE-041121-4
zv1,20095811,20104128,142,577,0,0,ZDB-GENE-040822-12
zv1,20205662,20266484,142,577,0,0,ZDB-GENE-010410-2
zv1,20323105,20345692,142,577,0,0,ZDB-GENE-040426-737
zv1,20025482,20080394,142,617,0,0,ZDB-GENE-080221-1
zv1,20115714,20192523,142,577,0,0,ZDB-GENE-020125-3
zv1,20278502,20321325,142,577,0,0,ZDB-GENE-090313-277
zv1,19921466,19986760,142,617,0,0,ZDB-GENE-090313-280
zv1,20323105,20345692,268,577,0,0,ZDB-GENE-040426-737
zv1,20345963,20355665,268,577,0,0,ZDB-GENE-051113-100
zv1,20359326,20381871,268,577,0,0,ZDB-GENE-070816-2
zv1,20359326,20381871,154,577,0,0,ZDB-GENE-070816-2
zv1,20393123,20548992,213,569,0,0,ZDB-GENE-030102-2
zv1,20556618,20558296,154,569,0,0,ZDB-GENE-090312-73
zv1,20728256,20744575,154,569,0,0,ZDB-GENE-090313-137
zv1,20772168,20806880,154,569,0,0,ZDB-GENE-070209-38
zv1,20393123,20548992,154,569,0,0,ZDB-GENE-030102-2
zv1,20560788,20650521,154,569,0,0,ZDB-GENE-001030-2
zv1,20696018,20716785,154,569,0,0,ZDB-GENE-990603-5
zv1,20837616,21057441,154,563,0,0,ZDB-GENE-030616-623
zv1,20837616,21057441,423,563,0,0,ZDB-GENE-030616-623
zv1,20837616,21057441,370,563,0,0,ZDB-GENE-030616-623
zv1,20837616,21057441,200,563,0,0,ZDB-GENE-030616-623
zv1,20837616,21057441,178,563,0,0,ZDB-GENE-030616-623
zv1,21057720,21144754,154,563,0,0,ZDB-GENE-090313-161
zv1,20837616,21057441,154,563,0,0,ZDB-GENE-030616-623
zv1,21057720,21144754,119,563,0,0,ZDB-GENE-090313-161
zv1,21057720,21144754,90,563,0,0,ZDB-GENE-090313-161
zv1,21057720,21144754,131,563,0,0,ZDB-GENE-090313-161
zv1,21201229,21202947,161,563,0,0,ZDB-GENE-100922-134
zv1,21421850,21422305,161,563,0,0,ZDB-GENE-030131-3844
zv1,21451706,21452326,161,563,0,0,ZDB-GENE-081106-1
zv1,21162893,21186136,161,563,0,0,ZDB-GENE-040108-1
zv1,21258659,21286157,161,563,0,0,ZDB-GENE-090312-91
zv1,21321053,21341234,161,563,0,0,ZDB-GENE-090312-169
zv1,21428978,21439189,161,563,0,0,ZDB-GENE-030131-9076
zv1,21544349,21577241,161,620,0,0.641850784,ZDB-GENE-030131-4025
zv1,21057720,21144754,161,563,0,0,ZDB-GENE-090313-161
zv1,21487025,21531239,161,654,0,0,ZDB-GENE-031003-1
zv1,21544349,21577241,241,620,0,0.641850784,ZDB-GENE-030131-4025
zv1,21579492,21608918,241,522,0,0,ZDB-GENE-990415-137
zv1,21619319,21625575,161,550,0,0,ZDB-GENE-050522-320
zv1,21631851,21635418,161,550,0,0,ZDB-GENE-100922-33
zv1,22004553,22014140,161,527,0,0,ZDB-GENE-090313-354
zv1,22043597,22048598,161,527,0,0,ZDB-GENE-030131-8646
