ensembl_gene_id,external_gene_name,hsapiens_homolog_associated_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSDARG00000002494,itgb6,ITGB6,167.5617266,5.05798458,0.706498867,7.15922532,8.11e-13,7.55e-10
ENSDARG00000002507,itga10,ITGA10,71.5016976,2.318144819,0.642481935,3.608108951,3.08437e-4,0.005798778
ENSDARG00000002509,zgc:153911,,146.6601077,3.294087623,0.747698726,4.40563493,1.05e-5,3.63418e-4
ENSDARG00000002533,adora2b,ADORA2B,9.90094897,2.670416739,0.755404214,3.535083189,4.07647e-4,0.007213899
ENSDARG00000002635,zgc:85722,FAM184A,184.0966824,-2.516268058,0.585884577,-4.294818734,1.75e-5,5.49283e-4
ENSDARG00000002880,vps50,VPS50,1031.88028,-1.411387704,0.440040926,-3.207400994,0.001339402,0.018488062
ENSDARG00000002909,tjp3,TJP3,239.1150165,4.623965474,0.586111334,7.889227198,3.04e-15,7.23e-12
ENSDARG00000002956,si:dkey-32n7.4,ITGAX,582.3275522,1.842016244,0.630462505,2.921690393,0.003481374,0.039129767
ENSDARG00000003091,oclnb,OCLN,159.7768785,5.355300721,0.736109309,7.275143314,3.46e-13,3.87e-10
ENSDARG00000003193,rassf7b,RASSF7,84.49157185,3.316143663,0.712318047,4.655425589,3.23e-6,1.38345e-4
ENSDARG00000003216,anxa2a,ANXA2,2951.584382,3.576822657,0.617534002,5.792106418,6.95e-9,9.39e-7
ENSDARG00000003244,gbp3,,1816.632812,-1.500880794,0.509225563,-2.947379124,0.0032048,0.036627511
ENSDARG00000003259,loxa,LOX,71.91395503,2.70328539,0.79172646,3.414418395,6.39183e-4,0.010269591
ENSDARG00000003293,sox9a,SOX9,31.50378464,2.204594792,0.705816844,3.123465826,0.001787346,0.023274663
ENSDARG00000003313,eps8l1b,EPS8L1,26.61345159,3.783018686,0.80473837,4.700929923,2.59e-6,1.15676e-4
ENSDARG00000003533,col8a1b,COL8A1,67.03292936,2.628751885,0.839178316,3.132530756,0.001733063,0.022678212
ENSDARG00000003902,ctsl.1,CTSV,35.69448211,3.1617585,0.69067544299999994,4.577777497,4.7e-6,1.90424e-4
ENSDARG00000003902,ctsl.1,CTSF,35.69448211,3.1617585,0.69067544299999994,4.577777497,4.7e-6,1.90424e-4
ENSDARG00000003902,ctsl.1,CTSL,35.69448211,3.1617585,0.69067544299999994,4.577777497,4.7e-6,1.90424e-4
ENSDARG00000003902,ctsl.1,TINAG,35.69448211,3.1617585,0.69067544299999994,4.577777497,4.7e-6,1.90424e-4
ENSDARG00000003902,ctsl.1,CTSW,35.69448211,3.1617585,0.69067544299999994,4.577777497,4.7e-6,1.90424e-4
ENSDARG00000003925,cx28.6,GJB5,9.076472242,3.066563114,0.857743476,3.57515178,3.50025e-4,0.006427895
ENSDARG00000003925,cx28.6,GJB4,9.076472242,3.066563114,0.857743476,3.57515178,3.50025e-4,0.006427895
ENSDARG00000004034,arhgdig,ARHGDIG,1975.690097,1.257069918,0.40783285,3.082316489,0.002053963,0.025849732
ENSDARG00000004051,CR354540.1,,11.61391283,2.200125199,0.763188818,2.882805861,0.003941503,0.04302472
ENSDARG00000004196,tnfsf10l,,283.0578207,2.000269441,0.537990912,3.718035748,2.00778e-4,0.004166481
ENSDARG00000004301,rhogb,RHOG,228.9792087,2.045433945,0.478747065,4.272473077,1.93e-5,6.00292e-4
ENSDARG00000004377,ppp1r13ba,PPP1R13B,366.141021,1.569265934,0.536444616,2.925308385,0.00344115,0.038749163
ENSDARG00000004405,snx10a,SNX10,14.233074,3.037683084,0.803575347,3.780209407,1.56697e-4,0.003438484
ENSDARG00000004433,btk,BTK,186.3962362,1.62576223,0.492193724,3.303094189,9.56243e-4,0.01407128
ENSDARG00000004455,p2rx5,P2RX5,393.4156158,-3.051195753,0.675420445,-4.517476153,6.26e-6,2.39521e-4
ENSDARG00000004455,p2rx5,P2RX5-TAX1BP3,393.4156158,-3.051195753,0.675420445,-4.517476153,6.26e-6,2.39521e-4
ENSDARG00000004473,tbx21,TBX21,47.13701424,2.06302435,0.579822845,3.558025295,3.73653e-4,0.006740568
ENSDARG00000004497,tspan33a,TSPAN33,55.06966973,3.024195662,0.606772979,4.984064495,6.23e-7,3.59e-5
ENSDARG00000004539,ptgs2a,PTGS2,345.8481977,4.850862006,0.727849647,6.664648432,2.65e-11,1.11e-8
ENSDARG00000004658,zgc:101810,ACTRT3,133.4461575,4.113966589,0.741291856,5.549725871,2.86e-8,2.89e-6
ENSDARG00000004658,zgc:101810,ACTRT2,133.4461575,4.113966589,0.741291856,5.549725871,2.86e-8,2.89e-6
ENSDARG00000004658,zgc:101810,ACTRT1,133.4461575,4.113966589,0.741291856,5.549725871,2.86e-8,2.89e-6
ENSDARG00000004658,zgc:101810,ACTL7B,133.4461575,4.113966589,0.741291856,5.549725871,2.86e-8,2.89e-6
ENSDARG00000004658,zgc:101810,ACTL10,133.4461575,4.113966589,0.741291856,5.549725871,2.86e-8,2.89e-6
ENSDARG00000004658,zgc:101810,ACTL9,133.4461575,4.113966589,0.741291856,5.549725871,2.86e-8,2.89e-6
ENSDARG00000004658,zgc:101810,ACTR1B,133.4461575,4.113966589,0.741291856,5.549725871,2.86e-8,2.89e-6
ENSDARG00000004658,zgc:101810,ACTL8,133.4461575,4.113966589,0.741291856,5.549725871,2.86e-8,2.89e-6
ENSDARG00000004745,lmbr1l,LMBR1L,39.87020713,2.95736389,0.659699706,4.482894056,7.36e-6,2.69205e-4
ENSDARG00000004748,zgc:100868,PRSS57,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,PRSS50,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,PRSS42P,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,AC011473.4,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,PRSS33,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,PRSS48,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,PRSS27,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,PRSS37,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,TMPRSS12,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,KLK9,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004748,zgc:100868,KLK15,264.7002642,4.797981662,0.745816674,6.433191736,1.25e-10,3.61e-8
ENSDARG00000004763,hhla2a.2,CD86,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004763,hhla2a.2,RFPL2,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004763,hhla2a.2,RNF135,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004763,hhla2a.2,RFPL3,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004763,hhla2a.2,CD80,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004763,hhla2a.2,RFPL4AL1,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004763,hhla2a.2,RFPL1,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004763,hhla2a.2,RFPL4A,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004763,hhla2a.2,RFPL4B,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004763,hhla2a.2,AL365214.3,15.27340305,2.499909379,0.854484742,2.925633726,0.0034375539999999998,0.038729051
ENSDARG00000004782,fgfr3,FGFR3,121.6639359,2.238016552,0.681644476,3.283260747,0.001026137,0.01491454
ENSDARG00000004789,lrp1ba,LRP1B,28.70913955,2.407369805,0.836864217,2.876655205,0.004019145,0.043752007
ENSDARG00000004952,rsad2,RSAD2,458.6190799,3.094115591,0.499041204,6.200120487,5.64e-10,1.17e-7
ENSDARG00000004953,mxb,,1543.60443,4.081470372,0.622156492,6.560198963,5.37e-11,1.88e-8
ENSDARG00000004954,grna,GRN,3454.932661,1.970388674,0.448624399,4.392067572,1.12e-5,3.81905e-4
ENSDARG00000005108,oclna,OCLN,420.0397995,4.951548688,0.745352814,6.64322801,3.07e-11,1.26e-8
ENSDARG00000005179,dglucy,DGLUCY,629.932359,-1.447573541,0.449944048,-3.217230112,0.001294347,0.017923989
ENSDARG00000005210,coro2a,CORO2A,65.08954452,3.317927704,0.645733012,5.1382346,2.77e-7,1.88e-5
ENSDARG00000005271,zc3h12a,ZC3H12A,39.42945973,4.430515155,0.823276284,5.381565388,7.38e-8,6.08e-6
ENSDARG00000005327,ftr66,RFPL2,15.99644891,2.451815891,0.856335063,2.863150181,0.004194517,0.045346989
ENSDARG00000005327,ftr66,RFPL4AL1,15.99644891,2.451815891,0.856335063,2.863150181,0.004194517,0.045346989
ENSDARG00000005327,ftr66,RFPL4B,15.99644891,2.451815891,0.856335063,2.863150181,0.004194517,0.045346989
ENSDARG00000005327,ftr66,AL365214.3,15.99644891,2.451815891,0.856335063,2.863150181,0.004194517,0.045346989
ENSDARG00000005327,ftr66,RFPL4A,15.99644891,2.451815891,0.856335063,2.863150181,0.004194517,0.045346989
ENSDARG00000005327,ftr66,RFPL1,15.99644891,2.451815891,0.856335063,2.863150181,0.004194517,0.045346989
ENSDARG00000005327,ftr66,RFPL3,15.99644891,2.451815891,0.856335063,2.863150181,0.004194517,0.045346989
ENSDARG00000005479,tenm3,,1504.18966,-1.767232586,0.542881301,-3.25528358,0.001132792,0.016146625
ENSDARG00000005481,nfkbiaa,,582.9153549,2.380477225,0.427149809,5.572932908,2.5e-8,2.61e-6
ENSDARG00000005541,wif1,WIF1,54.48243709,2.305569658,0.797710384,2.89023398,0.003849552,0.042260118
ENSDARG00000005565,entpd8,ENTPD8,139.485907,2.225545452,0.664571558,3.348842461,8.11499e-4,0.012366115
ENSDARG00000005673,f3b,,905.556998,-1.926061111,0.61260144,-3.144068861,0.001666162,0.02204548
ENSDARG00000005762,col14a1a,COL14A1,21.71262915,2.206326401,0.776999619,2.839546308,0.004517774,0.047850381
ENSDARG00000005821,ncf2,NCF2,129.0108831,1.50152443,0.513768327,2.922571031,0.003471544,0.03905031
ENSDARG00000005842,cd9a,CD9,176.4218117,1.577645071,0.525664034,3.00124218,0.002688806,0.031973954
ENSDARG00000006052,malt2,,193.7074349,2.039970557,0.407956159,5.000465149,5.72e-7,3.35e-5
ENSDARG00000006060,crybg1b,CRYBG1,444.6125233,4.028686219,0.673783219,5.979202368,2.24e-9,3.75e-7
ENSDARG00000006112,myof,MYOF,699.9400365,2.053413226,0.701782186,2.925997932,0.003433532,0.038704121
ENSDARG00000006257,vldlr,VLDLR,85.08081878,2.865404702,0.506677406,5.655284148,1.56e-8,1.79e-6
ENSDARG00000006422,esyt3,ESYT3,120.6487073,4.39201813,0.698182612,6.290643818,3.16e-10,7.43e-8
ENSDARG00000006491,agpat9l,GPAT3,63.47936557,4.018074493,0.676215079,5.942006643,2.82e-9,4.51e-7
ENSDARG00000006514,her6,HES1,810.7229113,-2.073390206,0.658849346,-3.146986816,0.001649624,0.02189824
ENSDARG00000006526,fn1b,FN1,1904.454773,3.820391624,0.780399136,4.895432925,9.81e-7,5.04e-5
ENSDARG00000006544,c1qtnf6b,C1QTNF3,44.00757648,2.170861188,0.55318906,3.924266306,8.7e-5,0.002088986
ENSDARG00000006544,c1qtnf6b,C1QTNF3-AMACR,44.00757648,2.170861188,0.55318906,3.924266306,8.7e-5,0.002088986
ENSDARG00000006544,c1qtnf6b,C1QTNF8,44.00757648,2.170861188,0.55318906,3.924266306,8.7e-5,0.002088986
ENSDARG00000006560,irf4a,IRF4,51.26722267,1.932444476,0.563287749,3.430652411,6.02132e-4,0.009781781
ENSDARG00000006588,zgc:111983,,2450.560409,4.9619214210000004,0.775236018,6.400530041,1.55e-10,4.3e-8
ENSDARG00000006603,csrp1a,CSRP1,330.1650391,1.367026552,0.36517764,3.743456346,1.81506e-4,0.00385633
ENSDARG00000006747,tmem178b,,29.25912231,-2.261720718,0.727736544,-3.107883939,0.001884321,0.024169687
ENSDARG00000006775,cass4,CASS4,46.97894999,1.587608605,0.47784646,3.32242412,8.92389e-4,0.013304997
ENSDARG00000006816,gtf2f2b,GTF2F2,47.68724302,-2.958736922,0.841332001,-3.516729326,4.36899e-4,0.007643054
ENSDARG00000006848,parp9,PARP9,1174.212734,1.660816609,0.585090402,2.8385641,0.004531702,0.047926721
ENSDARG00000007009,hoxa11b,HOXA11,32.61182772,2.729762227,0.868492425,3.143104246,0.001671663,0.022090938
ENSDARG00000007080,rhcgl1,RHCG,99.62537217,4.033574045,0.765887897,5.266533212,1.39e-7,1.03e-5
ENSDARG00000007108,lipia,LIPH,102.995935,3.735204711,0.508805556,7.341124057,2.12e-13,2.52e-10
ENSDARG00000007195,grm2b,GRM2,114.7679308,-3.512545235,0.816327143,-4.302864685,1.69e-5,5.37597e-4
ENSDARG00000007320,rpl7,RPL7,70835.45266,-1.179300326,0.322256223,-3.659511412,2.52697e-4,0.004969158
ENSDARG00000007358,cxcr3.1,CXCR3,86.85604057,1.972409457,0.562155662,3.508653543,4.50381e-4,0.007846828
ENSDARG00000007418,chmp4c,CHMP4C,27.21252693,3.298873407,0.797022661,4.138995749,3.49e-5,9.83295e-4
ENSDARG00000007709,adamts8a,ADAMTS8,36.92391161,2.827002631,0.810319052,3.488752516,4.8528e-4,0.008346118
ENSDARG00000007727,rgl2,,1022.888419,1.662085642,0.440830299,3.77035255,1.63017e-4,0.003540864
ENSDARG00000007783,blk,,63.13549774,1.933969341,0.544746912,3.550216255,3.84915e-4,0.006886781
ENSDARG00000007788,atp2b1b,ATP2B1,17.58115443,2.649119177,0.702722346,3.769794987,1.63382e-4,0.003540926
ENSDARG00000008060,scara3,SCARA3,130.6322082,2.329688426,0.630042743,3.697667267,2.1759e-4,0.004450273
ENSDARG00000008075,illr4,CLEC4F,39.27404397,3.776385631,0.609290375,6.198006379,5.72e-10,1.18e-7
ENSDARG00000008098,ifit9,IFIT1,255.3002488,2.964461314,0.694980833,4.2655296,1.99e-5,6.17478e-4
ENSDARG00000008098,ifit9,IFIT1B,255.3002488,2.964461314,0.694980833,4.2655296,1.99e-5,6.17478e-4
ENSDARG00000008098,ifit9,IFIT2,255.3002488,2.964461314,0.694980833,4.2655296,1.99e-5,6.17478e-4
ENSDARG00000008098,ifit9,IFIT3,255.3002488,2.964461314,0.694980833,4.2655296,1.99e-5,6.17478e-4
ENSDARG00000008098,ifit9,IFIT5,255.3002488,2.964461314,0.694980833,4.2655296,1.99e-5,6.17478e-4
ENSDARG00000008165,caspa,,204.080737,1.909044667,0.477782055,3.995639111,6.45e-5,0.001633615
ENSDARG00000008170,dbnla,DBNL,173.2245519,4.981104279,0.718156408,6.935960221,4.03e-12,2.78e-9
ENSDARG00000008186,syk,SYK,426.8886022,1.526550214,0.498465577,3.062498766,0.002194974,0.027303177
ENSDARG00000008548,arhgap12a,ARHGAP12,202.1681475,1.631119388,0.463648308,3.518010012,4.34796e-4,0.007612487
ENSDARG00000008720,lmo3,LMO3,21.96077987,-3.085472918,0.817527653,-3.774151131,1.60553e-4,0.003494446
ENSDARG00000008723,prkcba,PRKCB,226.4215654,3.200873231,0.435909534,7.342975965,2.09e-13,2.52e-10
ENSDARG00000008890,ctns,CTNS,260.4011971,1.180735102,0.341113912,3.461409987,5.37354e-4,0.009009941
ENSDARG00000009094,gata2b,GATA2,9.97400021,2.58863832,0.817772438,3.165475137,0.001548299,0.020807698
ENSDARG00000009133,myo1eb,,148.5508737,2.710119092,0.627125483,4.321494128,1.55e-5,5.00108e-4
ENSDARG00000009160,kmo,KMO,42.35619244,1.913548379,0.591009823,3.237760703,0.001204718,0.016923798
ENSDARG00000009208,prkcda,PRKCD,185.0433129,2.191134639,0.446500459,4.907351365,9.23e-7,4.87e-5
ENSDARG00000009525,tial1,TIA1,4086.129904,-0.608842047,0.207133623,-2.9393685,0.003288818,0.0374079
ENSDARG00000009544,cldnb,CLDN4,915.6954672,4.940151019,0.762080626,6.482451925,9.02e-11,2.8e-8
ENSDARG00000009637,rcvrn3,RCVRN,7.835679312,2.507866523,0.859820938,2.916731162,0.003537205,0.039560116
ENSDARG00000010008,vim,VIM,2372.029292,2.390185952,0.762272137,3.135607135,0.001714988,0.022496728
ENSDARG00000010083,rbfox3a,RBFOX3,39.84655211,2.252808323,0.747852912,3.01236819,0.00259218,0.031104704
ENSDARG00000010144,plppr3a,PLPPR3,139.0647493,2.241849966,0.533953136,4.198589377,2.69e-5,7.86092e-4
ENSDARG00000010244,rpl22l1,RPL22L1,5051.199663,-1.897573937,0.467239388,-4.061245664,4.88e-5,0.001282953
ENSDARG00000010252,jak3,,346.3023923,1.884106283,0.499882118,3.769101185,1.63836e-4,0.003544268
ENSDARG00000010317,gpr183a,GPR183,120.9769781,1.480434057,0.519661534,2.848842872,0.004387855,0.046915616
ENSDARG00000010318,srpx,SRPX,36.06757649,3.888807121,0.719276489,5.406553918,6.42e-8,5.54e-6
ENSDARG00000010347,acer1,ACER1,3.894358622,2.771501884,0.859854587,3.223221608,0.001267574,0.017633131
ENSDARG00000010423,npsn,,131.3469272,2.794123511,0.623375098,4.482250767,7.39e-6,2.69205e-4
ENSDARG00000010434,clu,CLU,924.8042124,2.615631729,0.712070417,3.673276782,2.3946e-4,0.004774691
ENSDARG00000010514,cxcr5,CXCR5,15.42254261,2.403632761,0.761100667,3.15810098,0.001588005,0.02124789
ENSDARG00000010556,mmp25b,MMP12,151.3776576,2.600717297,0.525000357,4.953743859,7.28e-7,4.01e-5
ENSDARG00000010556,mmp25b,MMP10,151.3776576,2.600717297,0.525000357,4.953743859,7.28e-7,4.01e-5
ENSDARG00000010556,mmp25b,MMP20,151.3776576,2.600717297,0.525000357,4.953743859,7.28e-7,4.01e-5
ENSDARG00000010556,mmp25b,MMP27,151.3776576,2.600717297,0.525000357,4.953743859,7.28e-7,4.01e-5
ENSDARG00000010556,mmp25b,MMP3,151.3776576,2.600717297,0.525000357,4.953743859,7.28e-7,4.01e-5
ENSDARG00000010556,mmp25b,MMP13,151.3776576,2.600717297,0.525000357,4.953743859,7.28e-7,4.01e-5
ENSDARG00000010556,mmp25b,MMP26,151.3776576,2.600717297,0.525000357,4.953743859,7.28e-7,4.01e-5
ENSDARG00000010619,themis,THEMIS,52.83432935,2.500941825,0.591758545,4.226287642,2.38e-5,7.0597e-4
ENSDARG00000010625,clic2,CLIC2,750.8371994,1.599336162,0.405291027,3.946142535,7.94e-5,0.001955349
ENSDARG00000010658,insig1,INSIG1,695.6253116,-1.72448246,0.552009207,-3.124010321,0.001784042,0.023245785
ENSDARG00000010673,trim16,TRIM16,47.74084192,3.171839017,0.706762817,4.487840818,7.19e-6,2.65862e-4
ENSDARG00000010673,trim16,TRIM16L,47.74084192,3.171839017,0.706762817,4.487840818,7.19e-6,2.65862e-4
ENSDARG00000010729,CABZ01073795.1,IFI44L,6059.05639,3.130874628,0.701020853,4.46616476,7.96e-6,2.84912e-4
ENSDARG00000010729,CABZ01073795.1,IFI44,6059.05639,3.130874628,0.701020853,4.46616476,7.96e-6,2.84912e-4
ENSDARG00000010770,sox19a,SOX15,17.90179848,2.900492461,0.85703421,3.384336852,7.13504e-4,0.011142642
ENSDARG00000010770,sox19a,SOX12,17.90179848,2.900492461,0.85703421,3.384336852,7.13504e-4,0.011142642
ENSDARG00000010770,sox19a,SRY,17.90179848,2.900492461,0.85703421,3.384336852,7.13504e-4,0.011142642
ENSDARG00000010785,thbs1b,THBS1,531.0449908,1.808184,0.596250447,3.032591439,0.002424636,0.02957531
ENSDARG00000010794,tfeb,TFEB,831.7755168,1.285764001,0.341729434,3.762520499,1.6821e-4,0.0036132960000000002
ENSDARG00000010878,cdkn1ca,CDKN1C,664.3018558,2.10090915,0.714475874,2.940489982,0.003276936,0.037312424
ENSDARG00000010925,HTRA3,HTRA3,31.2851424,2.143774883,0.708653023,3.025140389,0.002485177,0.030193283
ENSDARG00000011157,arhgef18a,AC008878.3,83.50414752,2.68282027,0.77375555,3.467271117,5.25771e-4,0.008864363
ENSDARG00000011157,arhgef18a,ARHGEF18,83.50414752,2.68282027,0.77375555,3.467271117,5.25771e-4,0.008864363
ENSDARG00000011245,esrp1,ESRP1,203.6954288,4.913633874,0.741598872,6.62572997,3.46e-11,1.31e-8
ENSDARG00000011370,fyna,FYN,272.5016856,-1.439899135,0.45790849,-3.144512858,0.001663636,0.022025676
ENSDARG00000011371,zgc:64106,,42.72847888,3.294339075,0.73489362,4.482742788,7.37e-6,2.69205e-4
ENSDARG00000011376,dnase1l4.2,DNASE1L3,388.4663618,1.790909373,0.569788153,3.143114444,0.001671605,0.022090938
ENSDARG00000011434,ptger2a,PTGER2,36.75091713,1.709388903,0.524351485,3.260005838,0.001114099,0.015926376
ENSDARG00000011449,fes,FES,62.73338963,2.812964979,0.583293195,4.822557508,1.42e-6,6.88e-5
ENSDARG00000011490,scube3,SCUBE3,21.1219842,2.5980889,0.725377768,3.581704615,3.4136e-4,0.006296025
ENSDARG00000011573,abcb11a,,25.56980286,2.606626692,0.841641853,3.097073514,0.001954414,0.024838045
ENSDARG00000011673,si:ch211-246m6.5,VWDE,750.910723,-5.14587703,0.844239952,-6.095277793,1.09e-9,2.12e-7
ENSDARG00000011723,zgc:56556,C5orf22,167.8910408,-1.087089041,0.381462973,-2.849789149,0.0043748220000000004,0.046861239
ENSDARG00000011797,tent5bb,TENT5B,28.89819994,2.090540603,0.688656199,3.035681093,0.002399931,0.029357641
ENSDARG00000011821,plod2,PLOD2,409.9670293,3.127922058,0.836716391,3.738330088,1.85247e-4,0.003914584
ENSDARG00000011869,galnt8a.2,GALNT8,23.7903428,3.519606871,0.77478116,4.542710964,5.55e-6,2.16426e-4
ENSDARG00000011869,galnt8a.2,AC005833.1,23.7903428,3.519606871,0.77478116,4.542710964,5.55e-6,2.16426e-4
ENSDARG00000011870,sp8a,,383.8164302,3.52886116,0.839510904,4.203472692,2.63e-5,7.73548e-4
ENSDARG00000011934,gyg1a,GYG1,1657.92025,-1.10763808,0.301641474,-3.672035099,2.40627e-4,0.004793488
ENSDARG00000011973,slc35d1a,SLC35D1,278.2314551,-1.381696393,0.401985119,-3.437182943,5.87798e-4,0.009614639
ENSDARG00000012016,hpgd,HPGD,17.35201914,2.590675289,0.719207592,3.602124501,3.15627e-4,0.005884738
ENSDARG00000012066,dcn,DCN,822.1068298,3.308349034,0.680380815,4.862496062,1.16e-6,5.81e-5
ENSDARG00000012071,angptl1a,ANGPTL1,130.3561305,2.497926997,0.755533399,3.306176801,9.45784e-4,0.013964835
ENSDARG00000012341,capn9,CAPN9,337.3046859,2.471921482,0.763096804,3.239328835,0.001198114,0.016842076
ENSDARG00000012388,cox4i1l,,76.74476746,2.740931682,0.749614628,3.656454368,2.55728e-4,0.00500606
ENSDARG00000012405,col1a1a,COL1A1,9150.569259,2.294075723,0.630427484,3.638920859,2.73783e-4,0.005272354
ENSDARG00000012534,slc6a6a,SLC6A6,25.05509998,1.925790096,0.645331464,2.984187513,0.002843325,0.033296623
ENSDARG00000012593,col5a1,COL5A1,3094.57738,2.21411797,0.640294718,3.457966948,5.44268e-4,0.009079609
ENSDARG00000012671,inhbaa,INHBA,70.05489776,2.852800193,0.691554969,4.125196582,3.7e-5,0.001033259
ENSDARG00000012729,hcls1,HCLS1,722.3468404,2.123277188,0.390688222,5.434710008,5.49e-8,4.87e-6
ENSDARG00000012789,plek2,PLEK2,85.50757126,4.275335395,0.79791039,5.358164836,8.41e-8,6.64e-6
ENSDARG00000012824,itga3b,ITGA3,93.82083824,2.414697309,0.743190708,3.249095128,0.001157728,0.016432677
ENSDARG00000012945,tnfsf13b,TNFSF13B,99.52499861,2.259125953,0.526277089,4.292654956,1.77e-5,5.53041e-4
ENSDARG00000012968,rhoub,,70.32315701,2.605002371,0.711567074,3.660937201,2.51294e-4,0.004946129
